物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント,seongsu_rank,seongsu_fit_score,seongsu_fit_stars,seongsu_fit_type,ブランド順位,星評価,ブランド適合度,ブランドタイプ
オーレックス西宝　１Ｆ【西宝町】テナント,高松市西宝町1--16-26,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002336,未取得,,,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
岡ビル１Ｆ【瓦町１丁目】テナント,高松市瓦町1--１３-１０,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002345,未取得,,,,,,,,,中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
丸協ビル２Ｆ【今里町】レインボーエリアテナント,高松市今里町2-29-21,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002101,取得済み,34.3252684,134.0629058,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ＳＹＫ店舗【伏石町】テナント,高松市伏石町-2166-10,,,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002614,取得済み,34.312094,134.0553112,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,88.0,36.0,★☆☆☆☆,実装難度高,88.0,★☆☆☆☆,36.0,実装難度高
高橋ビル２Ｆ【松福町】テナント,高松市松福町2-11-18,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002006,未取得,,,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
扇町メゾネット【扇町】タウンハウステナント,高松市扇町1丁目-1-7,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002046,取得済み,34.3467131,134.036024,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
橋本ビル１Ｆ【木太町】レインボーエリアテナント,高松市木太町-１１３０-１,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00001904,取得済み,34.3278475,134.0747791,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ラフォーレナミキ南店１Ｆ北【香西南町】テナント,高松市香西南町-４７２,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00001918,取得済み,34.3394484,134.0002361,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ＹＨ店舗1棟貸【国分寺町新居】,高松市国分寺町新居-1340-1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002619,取得済み,34.3150123,133.9666553,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
川田ビル【香西東町】,高松市香西東町-329-11,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002622,取得済み,34.3403451,134.007635,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
