物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント,seongsu_rank,seongsu_fit_score,seongsu_fit_stars,seongsu_fit_type,ブランド順位,星評価,ブランド適合度,ブランドタイプ
あかねビル１棟貸【茜町】,高松市茜町19--12,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002282,未取得,,,,,,,,,不明,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
オフィスビルいずみ東棟１F【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002286,未取得,,,,,,,,,準中心街,不明,店舗系,1階・路面想定,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
オフィスビルいずみ東棟2F【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002287,未取得,,,,,,,,,準中心街,不明,店舗系,上階・地下想定,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
オフィスビルいずみ東棟3F【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002288,未取得,,,,,,,,,準中心街,不明,店舗系,上階・地下想定,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
Sunriseせきもと１F【中央町】,高松市中央町15-15,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002151,未取得,,,,,,,,,準中心街,不明,店舗系,1階・路面想定,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
オフィスビルいずみ東１棟貸【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002223,未取得,,,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
Crest Court K2　1-Ａ【伏石町】,高松市伏石町-2152-4,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002253,取得済み,34.312094,134.0553112,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
プリンス三条テナント【三条町】,高松市三条町-474-1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00001566,取得済み,34.3144166,134.047238,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
近藤第２ビル 3F,香川県高松市常磐町２丁目,2万円,27.25㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/,取得済み,34.3375186,134.0511328,2.0,27.25,,20000.0,27.25,8.24,中心街,極小,不明,上階・地下想定,不明,2426.0,中心街・高単価型,,隠れ家・予約寄り高単価カフェ,7.0,0.34,0.27,0.1,1600,80000.0,100000.0,344828.0,13263.0,216.0,8.0,8.0,17.0,3297250.0,7006657.0,5151954.0,92,92,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商344,828円、必要日客数8人が目安。",69.0,45.7,★★☆☆☆,実装難度高,69.0,★★☆☆☆,45.7,実装難度高
ソウゲンビル 5階南,香川県高松市鍛冶屋町,2.53万円,16.00㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,取得済み,34.3428604,134.0487343,2.53,16.0,,25300.0,16.0,4.84,中心街,極小,不明,不明,不明,5227.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,4.0,0.33,0.26,0.1,1400,80000.0,105300.0,339677.0,13065.0,243.0,9.0,9.0,17.0,1839200.0,3872000.0,2855600.0,100,100,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商339,677円、必要日客数9人が目安。",72.0,45.6,★★☆☆☆,実装難度高,72.0,★★☆☆☆,45.6,実装難度高
クイーンズスクエア第２ビル 5－D,香川県高松市瓦町１丁目,3.3万円,18.96㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/,取得済み,34.3412277,134.051584,3.3,18.96,,33000.0,18.96,5.74,中心街,極小,不明,不明,不明,5754.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,0.33,0.26,0.1,1400,80000.0,113000.0,364516.0,14020.0,260.0,10.0,10.0,18.0,2179452.0,4588320.0,3383886.0,100,100,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商364,516円、必要日客数10人が目安。",80.0,43.6,★☆☆☆☆,実装難度高,80.0,★☆☆☆☆,43.6,実装難度高
ＡＫビル鍛冶屋町Ⅱ １Ｆ,香川県高松市鍛冶屋町,3.85万円,13.68㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6926a443aa781f981629c2d9/,取得済み,34.3428604,134.0487343,3.85,13.68,,38500.0,13.68,4.14,中心街,極小,不明,不明,不明,9304.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,4.0,0.33,0.26,0.1,1400,80000.0,118500.0,382258.0,14702.0,273.0,11.0,11.0,19.0,1572516.0,3310560.0,2441538.0,40,40,D,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食不可のため原則対象外 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商382,258円、必要日客数11人が目安。",,,,,,評価不可,,飲食可否対象外
クイ－ンズスケア第一 ５階Ｇ,香川県高松市瓦町２丁目,3.96万円,21.07㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ae18c079732ec4a1d17c2d6/,取得済み,34.3399504,134.0514047,3.96,21.07,,39600.0,21.07,6.37,中心街,極小,不明,不明,不明,6213.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,0.33,0.26,0.1,1400,80000.0,119600.0,385806.0,14839.0,276.0,11.0,11.0,19.0,2421997.0,5098940.0,3760468.0,100,100,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商385,806円、必要日客数11人が目安。",73.0,45.6,★★☆☆☆,実装難度高,73.0,★★☆☆☆,45.6,実装難度高
スモールショップ　中央南側 ２階一部,香川県高松市香川町大野,4万円,19.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68363e5e5de080734497111d/,取得済み,34.2664945,134.0255298,4.0,19.0,,40000.0,19.0,5.75,郊外,極小,不明,上階・地下想定,不明,6960.0,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,5.0,0.28,0.22,0.1,750,80000.0,120000.0,300000.0,11538.0,400.0,15.0,15.0,20.0,1034550.0,2299000.0,1666775.0,72,72,B,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は高め,"低固定費・小商圏型。必要月商300,000円、必要日客数15人が目安。",,,,,,評価不可,,飲食可否対象外
クイーンズスクエア第２ビル 3-C,香川県高松市瓦町１丁目,4.4万円,22.47㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f3b317/,取得済み,34.3412277,134.051584,4.4,22.47,,44000.0,22.47,6.8,中心街,極小,不明,不明,不明,6473.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,0.33,0.26,0.1,1400,80000.0,124000.0,400000.0,15385.0,286.0,11.0,11.0,20.0,2582927.0,5437740.0,4010334.0,100,100,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商400,000円、必要日客数11人が目安。",74.0,45.6,★★☆☆☆,実装難度高,74.0,★★☆☆☆,45.6,実装難度高
牟礼町牟礼　戸建　２Ｆ和室一部 2F,香川県高松市牟礼町牟礼,4.4万円,107.05㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6663fef91bce1051d51b1864/,取得済み,34.3493325,134.133009,4.4,107.05,,44000.0,107.05,32.38,郊外,中規模,不明,上階・地下想定,不明,1359.0,郊外・駐車場依存型,,郊外生活圏カフェ,32.0,0.31,0.26,0.1,1050,160000.0,204000.0,618182.0,23776.0,589.0,23.0,23.0,34.0,9067135.0,19429576.0,14248356.0,34,34,D,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商618,182円、必要日客数23人が目安。",,,,,,評価不可,,飲食可否対象外
宮脇町ビル 東,香川県高松市宮脇町１丁目,4.5万円,44.19㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67c006c873b679516875e115/,取得済み,34.3382366,134.0359162,4.5,44.19,,45000.0,44.19,13.37,準中心街,小規模,不明,不明,不明,3366.0,準中心街・生活圏型,,要個別検討,12.0,0.3,0.25,0.1,1000,100000.0,145000.0,414286.0,15934.0,414.0,16.0,16.0,24.0,4010243.0,9357233.0,6683738.0,87,87,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 席数に対する必要回転数は低め,"準中心街・生活圏型。必要月商414,286円、必要日客数16人が目安。",51.0,51.8,★★☆☆☆,実装難度高,51.0,★★☆☆☆,51.8,実装難度高
飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,香川県高松市香川町大野,5万円,20.73㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6628b3b9d9cbec77c6d93594/,取得済み,34.2664945,134.0255298,5.0,20.73,,50000.0,20.73,6.27,郊外,極小,不明,1階・路面想定,不明,7973.0,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,5.0,0.28,0.22,0.1,750,80000.0,130000.0,325000.0,12500.0,433.0,17.0,17.0,22.0,1128749.0,2508330.0,1818540.0,95,95,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 郊外で駐車場確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は高め,"低固定費・小商圏型。必要月商325,000円、必要日客数17人が目安。",81.0,41.2,★☆☆☆☆,実装難度高,81.0,★☆☆☆☆,41.2,実装難度高
スモールショップ　２Ｆ北側入口西側 ２階一部,香川県高松市香川町大野,5万円,30.50㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68362b1196571f4ba1d7d943/,取得済み,34.2664945,134.0255298,5.0,30.5,,50000.0,30.5,9.23,郊外,極小,不明,上階・地下想定,不明,5419.0,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,7.0,0.28,0.22,0.1,750,80000.0,130000.0,325000.0,12500.0,433.0,17.0,17.0,22.0,1660725.0,3690500.0,2675612.0,64,64,C,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要 / 低客数で成立しやすい,"低固定費・小商圏型。必要月商325,000円、必要日客数17人が目安。",,,,,,評価不可,,飲食可否対象外
クイーンズスクエア第２ビル 5-C,香川県高松市瓦町１丁目,5万円,26.69㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f7b317/,取得済み,34.3412277,134.051584,5.0,26.69,,50000.0,26.69,8.07,中心街,極小,不明,不明,不明,6193.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6.0,0.33,0.26,0.1,1400,80000.0,130000.0,419355.0,16129.0,300.0,12.0,12.0,21.0,3068016.0,6458980.0,4763498.0,92,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商419,355円、必要日客数12人が目安。",59.0,47.8,★★☆☆☆,実装難度高,59.0,★★☆☆☆,47.8,実装難度高
クイーンズスクエア第２ビル 3-B,香川県高松市瓦町１丁目,5.28万円,24.70㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555b55d54249423b71542600/,取得済み,34.3412277,134.051584,5.28,24.7,,52800.0,24.7,7.47,中心街,極小,不明,不明,不明,7067.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6.0,0.33,0.26,0.1,1400,80000.0,132800.0,428387.0,16476.0,306.0,12.0,12.0,21.0,2839265.0,5977400.0,4408332.0,92,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商428,387円、必要日客数12人が目安。",77.0,45.0,★★☆☆☆,実装難度高,77.0,★★☆☆☆,45.0,実装難度高
高松市 春日町 の貸店舗（一部）,香川県高松市春日町,5.5万円,38.30㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-64e2d04b3f7cf6132af9cfa9/,取得済み,34.3304601,134.0917088,5.5,38.3,,55000.0,38.3,11.59,郊外,極小,店舗系,不明,不明,4747.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,10.0,0.29,0.23,0.1,900,80000.0,135000.0,355263.0,13664.0,395.0,15.0,15.0,21.0,2896438.0,6372163.0,4634300.0,72,72,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要 / 低客数で成立しやすい,"低固定費・小商圏型。必要月商355,263円、必要日客数15人が目安。",,,,,,評価不可,,飲食可否対象外
クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,5.5万円,31.57㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,取得済み,34.3412277,134.051584,5.5,31.57,,55000.0,31.57,9.55,中心街,極小,不明,不明,不明,5759.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,8.0,0.33,0.26,0.1,1400,80000.0,135000.0,435484.0,16749.0,311.0,12.0,12.0,22.0,3628972.0,7639940.0,5634456.0,92,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商435,484円、必要日客数12人が目安。",57.0,47.8,★★☆☆☆,実装難度高,57.0,★★☆☆☆,47.8,実装難度高
クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,5.5万円,29.55㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,取得済み,34.3412277,134.051584,5.5,29.55,,55000.0,29.55,8.94,中心街,極小,不明,不明,不明,6153.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,7.0,0.33,0.26,0.1,1400,80000.0,135000.0,435484.0,16749.0,311.0,12.0,12.0,22.0,3396773.0,7151100.0,5273936.0,92,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商435,484円、必要日客数12人が目安。",65.0,47.8,★★☆☆☆,実装難度高,65.0,★★☆☆☆,47.8,実装難度高
新井ビル 204,香川県高松市成合町,5.5万円,49.59㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf21f5ce5a69c7914b84609/,取得済み,34.2994211,134.0156685,5.5,49.59,,55000.0,49.59,15.0,不明,小規模,不明,不明,不明,3666.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,14.0,0.29,0.23,0.1,900,100000.0,155000.0,407895.0,15688.0,453.0,17.0,17.0,24.0,3750244.0,8250537.0,6000390.0,32,32,D,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食不可のため原則対象外 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商407,895円、必要日客数17人が目安。",,,,,,評価不可,,飲食可否対象外
高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),香川県高松市今里町１丁目,6万円,37.50㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,取得済み,34.3257633,134.0570519,6.0,37.5,,60000.0,37.5,11.34,準中心街,極小,店舗系,不明,不明,5289.0,準中心街・生活圏型,,要個別検討,10.0,0.3,0.25,0.1,1000,80000.0,140000.0,400000.0,15385.0,400.0,15.0,15.0,23.0,3403125.0,7940625.0,5671875.0,87,87,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可,"準中心街・生活圏型。必要月商400,000円、必要日客数15人が目安。",52.0,51.8,★★☆☆☆,実装難度高,52.0,★★☆☆☆,51.8,実装難度高
高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市瓦町１丁目,6万円,30.51㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,取得済み,34.3412277,134.051584,6.0,30.51,,60000.0,30.51,9.23,中心街,極小,店舗系,不明,不明,6501.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,7.0,0.33,0.26,0.1,1400,80000.0,140000.0,451613.0,17370.0,323.0,12.0,12.0,22.0,3507125.0,7383420.0,5445272.0,77,77,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き,"中心街・高単価型。必要月商451,613円、必要日客数12人が目安。",,,,,,評価不可,,飲食可否対象外
高松市 昭和町２丁目 (昭和町駅) の貸店舗・事務所(一部),香川県高松市昭和町２丁目,6万円,31.92㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6850eddb0113b875040064de/,取得済み,34.3430435,134.0313439,6.0,31.92,,60000.0,31.92,9.66,準中心街,極小,店舗系,不明,不明,6214.0,準中心街・生活圏型,,要個別検討,8.0,0.3,0.25,0.1,1000,80000.0,140000.0,400000.0,15385.0,400.0,15.0,15.0,23.0,2896740.0,6759060.0,4827900.0,72,72,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要,"準中心街・生活圏型。必要月商400,000円、必要日客数15人が目安。",,,,,,評価不可,,飲食可否対象外
高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,香川県高松市花ノ宮町３丁目,6万円,19.52㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69e042035de080bdbee75f45/,取得済み,34.3246462,134.0457846,6.0,19.52,,60000.0,19.52,5.9,不明,極小,店舗系,不明,不明,10161.0,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,5.0,0.28,0.22,0.1,750,80000.0,140000.0,350000.0,13462.0,467.0,18.0,18.0,23.0,1062864.0,2361920.0,1712392.0,77,77,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は高め,"低固定費・小商圏型。必要月商350,000円、必要日客数18人が目安。",,,,,,評価不可,,飲食可否対象外
高松市 東田町 (瓦町駅) の貸店舗・事務所(一部),香川県高松市東田町,6万円,50.00㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6052fa6fadffbc51ad7e043f/,取得済み,34.335862,134.0496573,6.0,50.0,,60000.0,50.0,15.13,不明,小規模,店舗系,不明,不明,3967.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,14.0,0.29,0.23,0.1,900,100000.0,160000.0,421053.0,16194.0,468.0,18.0,18.0,25.0,3781250.0,8318750.0,6050000.0,32,32,D,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食不可のため原則対象外 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商421,053円、必要日客数18人が目安。",,,,,,評価不可,,飲食可否対象外
ソウゲンビル 5階,香川県高松市鍛冶屋町,6.05万円,31.60㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,取得済み,34.3428604,134.0487343,6.05,31.6,,60500.0,31.6,9.56,中心街,極小,不明,不明,不明,6329.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,8.0,0.33,0.26,0.1,1400,80000.0,140500.0,453226.0,17432.0,324.0,12.0,12.0,22.0,3632420.0,7647200.0,5639810.0,92,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商453,226円、必要日客数12人が目安。",66.0,47.8,★★☆☆☆,実装難度高,66.0,★★☆☆☆,47.8,実装難度高
クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,6.05万円,32.32㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/,取得済み,34.3412277,134.051584,6.05,32.32,,60500.0,32.32,9.78,中心街,極小,不明,不明,不明,6188.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,8.0,0.33,0.26,0.1,1400,80000.0,140500.0,453226.0,17432.0,324.0,12.0,12.0,22.0,3715184.0,7821440.0,5768312.0,92,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商453,226円、必要日客数12人が目安。",58.0,47.8,★★☆☆☆,実装難度高,58.0,★★☆☆☆,47.8,実装難度高
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ２０３,香川県高松市塩屋町,6.05万円,20.68㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682559e2990e3375d4f1d836/,取得済み,34.342155,134.0550633,6.05,20.68,,60500.0,20.68,6.26,中心街,極小,不明,不明,不明,9671.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,0.33,0.26,0.1,1400,80000.0,140500.0,453226.0,17432.0,324.0,12.0,12.0,22.0,2377166.0,5004560.0,3690863.0,77,77,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商453,226円、必要日客数12人が目安。",,,,,,評価不可,,飲食可否対象外
松本ビル 1階,香川県高松市室新町,6.2万円,31.29㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69522eecc37dc1729e1f21f0/,取得済み,34.3267423,134.036633,6.2,31.29,,62000.0,31.29,9.47,不明,極小,不明,1階・路面想定,不明,6550.0,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,8.0,0.28,0.22,0.1,750,80000.0,142000.0,355000.0,13654.0,473.0,18.0,18.0,24.0,1703741.0,3786090.0,2744916.0,100,100,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 低客数で成立しやすい,"低固定費・小商圏型。必要月商355,000円、必要日客数18人が目安。",82.0,41.2,★☆☆☆☆,実装難度高,82.0,★☆☆☆☆,41.2,実装難度高
クリエイトビル 302,香川県高松市塩上町３丁目,6.6万円,46.06㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66f21d9b20276410821020d6/,取得済み,34.3388772,134.0573648,6.6,46.06,,66000.0,46.06,13.93,不明,小規模,不明,不明,不明,4737.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,13.0,0.29,0.23,0.1,900,100000.0,166000.0,436842.0,16802.0,485.0,19.0,19.0,26.0,3483288.0,7663233.0,5573260.0,32,32,D,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食不可のため原則対象外 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商436,842円、必要日客数19人が目安。",,,,,,評価不可,,飲食可否対象外
高松市 花園町２丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町２丁目,6.6万円,35.29㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-57bea8c1d032a747f63ded79/,取得済み,34.3336738,134.057008,6.6,35.29,,66000.0,35.29,10.68,準中心街,極小,店舗系,不明,不明,6183.0,準中心街・生活圏型,,要個別検討,10.0,0.3,0.25,0.1,1000,80000.0,146000.0,417143.0,16044.0,417.0,16.0,16.0,24.0,3202568.0,7472658.0,5337613.0,72,72,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要,"準中心街・生活圏型。必要月商417,143円、必要日客数16人が目安。",,,,,,評価不可,,飲食可否対象外
