物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,原価率,人件費率,利益率,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,評価ランク,事業成立性スコア,ブランド順位,星評価,ブランド適合度,ダッシュボード表示コメント,space_openness_score,seongsu_design_score,night_business_score,parking_destination_score,investment_reality_score,fruit_cafe_business_score,seongsu_fit_score,seongsu_fit_stars,seongsu_rank,seongsu_fit_type,seongsu_fit_comment
ＡＫビル片原町Ⅱ　２階　北東 （２０１）,香川県高松市片原町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-684fade320d8493430490ebe/,34.3458826,134.0543651,7.7万円,77000.0,40.00㎡,40.0,,12.1,6364.0,可,中心街,小規模,不明,上階・地下想定,不明,中心街・高単価型,,隠れ家・予約寄り高単価カフェ,11.0,1600,0.34,0.27,0.1,100000.0,177000.0,610345.0,23475.0,15.0,15.0,29.0,7562500.0,B,79,,評価不可,,"中心街・高単価型。必要月商610,345円、必要日客数15人が目安。",26,37,100,55,100,79.0,55.4,★★☆☆☆,49,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約12.1坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） ＡＫビル片原町Ⅱ　２階　北東 （２０１）,香川県高松市片原町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-684fade320d8493430490ebe/,34.3458826,134.0543651,7.7 万円,77000.0,40.00㎡,40.0,12.09坪,12.09,6369.0,可,中心街,小規模,店舗系,上階・地下想定,不明,中心街・高単価型,,隠れ家・予約寄り高単価カフェ,11.0,1600,0.34,0.27,0.1,100000.0,177000.0,610345.0,23475.0,15.0,15.0,29.0,7556250.0,B,79,,評価不可,,"中心街・高単価型。必要月商610,345円、必要日客数15人が目安。",26,37,100,55,100,79.0,55.4,★★☆☆☆,50,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約12.1坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
宮脇町ビル 東,香川県高松市宮脇町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67c006c873b679516875e115/,34.3382366,134.0359162,4.5万円,45000.0,44.19㎡,44.19,,13.37,3366.0,可,準中心街,小規模,不明,不明,不明,準中心街・生活圏型,,要個別検討,12.0,1000,0.3,0.25,0.1,100000.0,145000.0,414286.0,15934.0,16.0,16.0,24.0,6683738.0,A,87,,評価不可,,"準中心街・生活圏型。必要月商414,286円、必要日客数16人が目安。",26,45,65,55,100,87.0,51.8,★★☆☆☆,51,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約13.4坪で、面積または席密度の面で余白確保に課題がある。
高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),香川県高松市今里町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,34.3257633,134.0570519,6万円,60000.0,37.50㎡,37.5,,11.34,5289.0,可,準中心街,極小,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,10.0,1000,0.3,0.25,0.1,80000.0,140000.0,400000.0,15385.0,15.0,15.0,23.0,5671875.0,A,87,,評価不可,,"準中心街・生活圏型。必要月商400,000円、必要日客数15人が目安。",26,45,65,55,100,87.0,51.8,★★☆☆☆,52,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約11.3坪で、面積または席密度の面で余白確保に課題がある。
貸店舗（一部） 宮脇町ビル 東,香川県高松市宮脇町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-67c006c873b679516875e115/,34.3448764,134.0348642,4.5 万円,45000.0,44.19㎡,44.19,13.36坪,13.36,3368.0,可,準中心街,小規模,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,12.0,1000,0.3,0.25,0.1,100000.0,145000.0,414286.0,15934.0,16.0,16.0,24.0,6680000.0,A,87,,評価不可,,"準中心街・生活圏型。必要月商414,286円、必要日客数16人が目安。",26,45,65,55,100,87.0,51.8,★★☆☆☆,53,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約13.4坪で、面積または席密度の面で余白確保に課題がある。
貸店舗・事務所(一部) 高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),香川県高松市今里町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,34.3257633,134.0570519,6 万円,60000.0,37.50㎡,37.5,11.34坪,11.34,5291.0,可,準中心街,極小,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,10.0,1000,0.3,0.25,0.1,80000.0,140000.0,400000.0,15385.0,15.0,15.0,23.0,5670000.0,A,87,,評価不可,,"準中心街・生活圏型。必要月商400,000円、必要日客数15人が目安。",26,45,65,55,100,87.0,51.8,★★☆☆☆,54,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約11.3坪で、面積または席密度の面で余白確保に課題がある。
貸店舗（一部） クイ－ンズスケア第一 1階C,香川県高松市瓦町２丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-68f074cf4c8c312b4b224e88/,34.3400205,134.0501426,7.7 万円,77000.0,22.16㎡,22.16,6.70坪,6.7,11493.0,可,中心街,極小,店舗系,1階・路面想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,1400,0.33,0.26,0.1,80000.0,157000.0,506452.0,19479.0,14.0,14.0,25.0,3953000.0,A,95,,評価不可,,"中心街・高単価型。必要月商506,452円、必要日客数14人が目安。",7,27,100,55,100,95.0,48.5,★★☆☆☆,55,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約6.7坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
クイ－ンズスケア第一 1階C,香川県高松市瓦町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68f074cf4c8c312b4b224e88/,34.3399504,134.0514047,7.7万円,77000.0,22.16㎡,22.16,,6.7,11487.0,可,中心街,極小,不明,1階・路面想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,1400,0.33,0.26,0.1,80000.0,157000.0,506452.0,19479.0,14.0,14.0,25.0,3955006.0,A,95,,評価不可,,"中心街・高単価型。必要月商506,452円、必要日客数14人が目安。",7,27,100,55,100,95.0,48.5,★★☆☆☆,56,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約6.7坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,34.3412277,134.051584,5.5万円,55000.0,31.57㎡,31.57,,9.55,5759.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,8.0,1400,0.33,0.26,0.1,80000.0,135000.0,435484.0,16749.0,12.0,12.0,22.0,5634456.0,A,92,,評価不可,,"中心街・高単価型。必要月商435,484円、必要日客数12人が目安。",17,15,100,55,100,92.0,47.8,★★☆☆☆,57,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約9.6坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/,34.3412277,134.051584,6.05万円,60500.0,32.32㎡,32.32,,9.78,6188.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,8.0,1400,0.33,0.26,0.1,80000.0,140500.0,453226.0,17432.0,12.0,12.0,22.0,5768312.0,A,92,,評価不可,,"中心街・高単価型。必要月商453,226円、必要日客数12人が目安。",17,15,100,55,100,92.0,47.8,★★☆☆☆,58,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約9.8坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
