物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント
スモールショップ　中央南側 ２階一部,香川県高松市香川町大野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68363e5e5de080734497111d/,34.2664945,134.0255298,4万円,40000.0,19.00㎡,19.0,,5.75,6960.0,確認必要,郊外,極小,不明,上階・地下想定,不明,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,5.0,750,120000.0,300000.0,11538.0,15.0,15.0,20.0,1666775.0,72,B,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は高め,"低固定費・小商圏型。必要月商300,000円、必要日客数15人が目安。"
クイーンズスクエア第２ビル 3-C,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f3b317/,34.3412277,134.051584,4.4万円,44000.0,22.47㎡,22.47,,6.8,6473.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,1400,124000.0,400000.0,15385.0,11.0,11.0,20.0,4010334.0,100,A,推奨必要日客数20人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商400,000円、必要日客数11人が目安。"
牟礼町牟礼　戸建　２Ｆ和室一部 2F,香川県高松市牟礼町牟礼,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6663fef91bce1051d51b1864/,34.3493325,134.133009,4.4万円,44000.0,107.05㎡,107.05,,32.38,1359.0,確認必要,郊外,中規模,不明,上階・地下想定,不明,郊外・駐車場依存型,,郊外生活圏カフェ,32.0,1050,204000.0,618182.0,23776.0,23.0,23.0,34.0,14248356.0,34,D,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商618,182円、必要日客数23人が目安。"
宮脇町ビル 東,香川県高松市宮脇町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67c006c873b679516875e115/,34.3382366,134.0359162,4.5万円,45000.0,44.19㎡,44.19,,13.37,3366.0,可,準中心街,小規模,不明,不明,不明,準中心街・生活圏型,,要個別検討,12.0,1000,145000.0,414286.0,15934.0,16.0,16.0,24.0,6683738.0,87,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 席数に対する必要回転数は低め,"準中心街・生活圏型。必要月商414,286円、必要日客数16人が目安。"
飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,香川県高松市香川町大野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6628b3b9d9cbec77c6d93594/,34.2664945,134.0255298,5万円,50000.0,20.73㎡,20.73,,6.27,7973.0,可,郊外,極小,不明,1階・路面想定,不明,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,5.0,750,130000.0,325000.0,12500.0,17.0,17.0,22.0,1818540.0,95,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 郊外で駐車場確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は高め,"低固定費・小商圏型。必要月商325,000円、必要日客数17人が目安。"
スモールショップ　２Ｆ北側入口西側 ２階一部,香川県高松市香川町大野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68362b1196571f4ba1d7d943/,34.2664945,134.0255298,5万円,50000.0,30.50㎡,30.5,,9.23,5419.0,確認必要,郊外,極小,不明,上階・地下想定,不明,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,7.0,750,130000.0,325000.0,12500.0,17.0,17.0,22.0,2675612.0,64,C,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要 / 低客数で成立しやすい,"低固定費・小商圏型。必要月商325,000円、必要日客数17人が目安。"
クイーンズスクエア第２ビル 5-C,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f7b317/,34.3412277,134.051584,5万円,50000.0,26.69㎡,26.69,,8.07,6193.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6.0,1400,130000.0,419355.0,16129.0,12.0,12.0,21.0,4763498.0,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商419,355円、必要日客数12人が目安。"
クイーンズスクエア第２ビル 3-B,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555b55d54249423b71542600/,34.3412277,134.051584,5.28万円,52800.0,24.70㎡,24.7,,7.47,7067.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6.0,1400,132800.0,428387.0,16476.0,12.0,12.0,21.0,4408332.0,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商428,387円、必要日客数12人が目安。"
高松市 春日町 の貸店舗（一部）,香川県高松市春日町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-64e2d04b3f7cf6132af9cfa9/,34.3304601,134.0917088,5.5万円,55000.0,38.30㎡,38.3,,11.59,4747.0,確認必要,郊外,極小,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,10.0,900,135000.0,355263.0,13664.0,15.0,15.0,21.0,4634300.0,72,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要 / 低客数で成立しやすい,"低固定費・小商圏型。必要月商355,263円、必要日客数15人が目安。"
クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,34.3412277,134.051584,5.5万円,55000.0,31.57㎡,31.57,,9.55,5759.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,8.0,1400,135000.0,435484.0,16749.0,12.0,12.0,22.0,5634456.0,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商435,484円、必要日客数12人が目安。"
クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,34.3412277,134.051584,5.5万円,55000.0,29.55㎡,29.55,,8.94,6153.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,7.0,1400,135000.0,435484.0,16749.0,12.0,12.0,22.0,5273936.0,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商435,484円、必要日客数12人が目安。"
新井ビル 204,香川県高松市成合町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf21f5ce5a69c7914b84609/,34.2994211,134.0156685,5.5万円,55000.0,49.59㎡,49.59,,15.0,3666.0,不可,不明,小規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,14.0,900,155000.0,407895.0,15688.0,17.0,17.0,24.0,6000390.0,32,D,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食不可のため原則対象外 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商407,895円、必要日客数17人が目安。"
高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),香川県高松市今里町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,34.3257633,134.0570519,6万円,60000.0,37.50㎡,37.5,,11.34,5289.0,可,準中心街,極小,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,10.0,1000,140000.0,400000.0,15385.0,15.0,15.0,23.0,5671875.0,87,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可,"準中心街・生活圏型。必要月商400,000円、必要日客数15人が目安。"
高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,34.3412277,134.051584,6万円,60000.0,30.51㎡,30.51,,9.23,6501.0,確認必要,中心街,極小,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,7.0,1400,140000.0,451613.0,17370.0,12.0,12.0,22.0,5445272.0,77,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き,"中心街・高単価型。必要月商451,613円、必要日客数12人が目安。"
高松市 昭和町２丁目 (昭和町駅) の貸店舗・事務所(一部),香川県高松市昭和町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6850eddb0113b875040064de/,34.3430435,134.0313439,6万円,60000.0,31.92㎡,31.92,,9.66,6214.0,確認必要,準中心街,極小,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,8.0,1000,140000.0,400000.0,15385.0,15.0,15.0,23.0,4827900.0,72,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要,"準中心街・生活圏型。必要月商400,000円、必要日客数15人が目安。"
高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,香川県高松市花ノ宮町３丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69e042035de080bdbee75f45/,34.3246462,134.0457846,6万円,60000.0,19.52㎡,19.52,,5.9,10161.0,確認必要,不明,極小,店舗系,不明,不明,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,5.0,750,140000.0,350000.0,13462.0,18.0,18.0,23.0,1712392.0,77,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は高め,"低固定費・小商圏型。必要月商350,000円、必要日客数18人が目安。"
高松市 東田町 (瓦町駅) の貸店舗・事務所(一部),香川県高松市東田町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6052fa6fadffbc51ad7e043f/,34.335862,134.0496573,6万円,60000.0,50.00㎡,50.0,,15.13,3967.0,不可,不明,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,14.0,900,160000.0,421053.0,16194.0,18.0,18.0,25.0,6050000.0,32,D,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食不可のため原則対象外 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商421,053円、必要日客数18人が目安。"
ソウゲンビル 5階,香川県高松市鍛冶屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,34.3428604,134.0487343,6.05万円,60500.0,31.60㎡,31.6,,9.56,6329.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,8.0,1400,140500.0,453226.0,17432.0,12.0,12.0,22.0,5639810.0,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商453,226円、必要日客数12人が目安。"
クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/,34.3412277,134.051584,6.05万円,60500.0,32.32㎡,32.32,,9.78,6188.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,8.0,1400,140500.0,453226.0,17432.0,12.0,12.0,22.0,5768312.0,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商453,226円、必要日客数12人が目安。"
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ２０３,香川県高松市塩屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682559e2990e3375d4f1d836/,34.342155,134.0550633,6.05万円,60500.0,20.68㎡,20.68,,6.26,9671.0,確認必要,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,1400,140500.0,453226.0,17432.0,12.0,12.0,22.0,3690863.0,77,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商453,226円、必要日客数12人が目安。"
松本ビル 1階,香川県高松市室新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69522eecc37dc1729e1f21f0/,34.3267423,134.036633,6.2万円,62000.0,31.29㎡,31.29,,9.47,6550.0,可,不明,極小,不明,1階・路面想定,不明,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,8.0,750,142000.0,355000.0,13654.0,18.0,18.0,24.0,2744916.0,100,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 低客数で成立しやすい,"低固定費・小商圏型。必要月商355,000円、必要日客数18人が目安。"
クリエイトビル 302,香川県高松市塩上町３丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66f21d9b20276410821020d6/,34.3388772,134.0573648,6.6万円,66000.0,46.06㎡,46.06,,13.93,4737.0,不可,不明,小規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,13.0,900,166000.0,436842.0,16802.0,19.0,19.0,26.0,5573260.0,32,D,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食不可のため原則対象外 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商436,842円、必要日客数19人が目安。"
高松市 花園町２丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-57bea8c1d032a747f63ded79/,34.3336738,134.057008,6.6万円,66000.0,35.29㎡,35.29,,10.68,6183.0,確認必要,準中心街,極小,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,10.0,1000,146000.0,417143.0,16044.0,16.0,16.0,24.0,5337613.0,72,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要,"準中心街・生活圏型。必要月商417,143円、必要日客数16人が目安。"
ＷＩＮＤ 202,香川県高松市古新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-670378fdb15c5738c792975c/,34.345727,134.0478245,6.6万円,66000.0,24.63㎡,24.63,,7.45,8858.0,確認必要,不明,極小,不明,不明,不明,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,6.0,750,146000.0,365000.0,14038.0,19.0,19.0,24.0,2160667.0,77,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は高め,"低固定費・小商圏型。必要月商365,000円、必要日客数19人が目安。"
高松市 屋島西町 (潟元駅) の貸店舗（一部）,香川県高松市屋島西町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-674bc7812895ed45f90dfeb2/,34.3603444,134.0966033,6.6万円,66000.0,64.53㎡,64.53,,19.52,3381.0,確認必要,郊外,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,18.0,900,166000.0,436842.0,16802.0,19.0,19.0,26.0,7808130.0,72,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商436,842円、必要日客数19人が目安。"
高松市 香川町川東下 の貸店舗（一部）,香川県高松市香川町川東下,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66c6b7940b0aca787b54d3a7/,34.2455044,134.0300841,7万円,70000.0,64.71㎡,64.71,,19.57,3576.0,確認必要,郊外,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,18.0,900,170000.0,447368.0,17206.0,19.0,19.0,27.0,7829910.0,72,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商447,368円、必要日客数19人が目安。"
高松市 木太町 (林道駅) の貸店舗（一部）,香川県高松市木太町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-685e07f1970a600a34bedb25/,34.3318938,134.0800231,7万円,70000.0,56.10㎡,56.1,,16.97,4125.0,不可,準中心街,小規模,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,15.0,1000,170000.0,485714.0,18681.0,19.0,19.0,28.0,8485125.0,17,D,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 席数に対する必要回転数は低め,"準中心街・生活圏型。必要月商485,714円、必要日客数19人が目安。"
高松市 花園町１丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5cc0ee5cd032a771437daaf9/,34.3345829,134.0578551,7万円,70000.0,39.52㎡,39.52,,11.95,5855.0,確認必要,準中心街,極小,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,11.0,1000,150000.0,428571.0,16484.0,16.0,16.0,25.0,5977400.0,72,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要,"準中心街・生活圏型。必要月商428,571円、必要日客数16人が目安。"
小林店舗 １階　東,香川県高松市古馬場町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5fc8918dcab5463d5a2e7e1a/,34.3425721,134.0518077,7.15万円,71500.0,18.90㎡,18.9,,5.72,12506.0,可,中心街,極小,店舗系,1階・路面想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,1400,151500.0,488710.0,18797.0,13.0,13.0,24.0,3373178.0,100,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商488,710円、必要日客数13人が目安。"
ＷＩＮＤ 003,香川県高松市古新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68bfbbd36240320783c534cc/,34.345727,134.0478245,7.1874万円,71874.0,24.00㎡,24.0,,7.26,9900.0,確認必要,不明,極小,不明,不明,不明,低固定費・小商圏型,,テイクアウト・スタンド型カフェ,6.0,750,151874.0,379685.0,14603.0,19.0,19.0,25.0,2105400.0,77,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は高め,"低固定費・小商圏型。必要月商379,685円、必要日客数19人が目安。"
吉田ビル 1階,香川県高松市香川町川東上,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-65c9d71ddfbd573fa5601d7a/,34.2277806,134.0376407,7.7万円,77000.0,34.75㎡,34.75,,10.51,7325.0,確認必要,郊外,極小,不明,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,9.0,900,157000.0,413158.0,15891.0,18.0,18.0,25.0,4204750.0,80,B,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要 / 低客数で成立しやすい,"低固定費・小商圏型。必要月商413,158円、必要日客数18人が目安。"
ＡＫビル片原町Ⅱ　２階　北東 （２０１）,香川県高松市片原町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-684fade320d8493430490ebe/,34.3458826,134.0543651,7.7万円,77000.0,40.00㎡,40.0,,12.1,6364.0,可,中心街,小規模,不明,上階・地下想定,不明,中心街・高単価型,,隠れ家・予約寄り高単価カフェ,11.0,1600,177000.0,610345.0,23475.0,15.0,15.0,29.0,7562500.0,79,B,推奨必要日客数30人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商610,345円、必要日客数15人が目安。"
クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/,34.3412277,134.051584,7.7万円,77000.0,41.50㎡,41.5,,12.55,6134.0,可,中心街,小規模,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,11.0,1400,177000.0,570968.0,21960.0,16.0,16.0,28.0,7406712.0,87,A,推奨必要日客数30人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商570,968円、必要日客数16人が目安。"
クイ－ンズスケア第一 1階C,香川県高松市瓦町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68f074cf4c8c312b4b224e88/,34.3399504,134.0514047,7.7万円,77000.0,22.16㎡,22.16,,6.7,11487.0,可,中心街,極小,不明,1階・路面想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5.0,1400,157000.0,506452.0,19479.0,14.0,14.0,25.0,3955006.0,95,A,推奨必要日客数30人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商506,452円、必要日客数14人が目安。"
新井ビル 200,香川県高松市成合町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf219fbe5a69c28beb84613/,34.2994211,134.0156685,7.7万円,77000.0,66.54㎡,66.54,,20.13,3825.0,不可,不明,中規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,20.0,900,237000.0,623684.0,23988.0,27.0,27.0,37.0,8051340.0,2,D,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商623,684円、必要日客数27人が目安。"
牟礼町牟礼　倉庫 2F,香川県高松市牟礼町牟礼,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-665a9a1cda59646e4add9922/,34.3493325,134.133009,7.7万円,77000.0,107.05㎡,107.05,,32.38,2378.0,確認必要,郊外,中規模,倉庫・工場系,上階・地下想定,不明,郊外・駐車場依存型,,郊外倉庫リノベ型カフェ,32.0,1200,237000.0,817241.0,31432.0,26.0,26.0,39.0,21048707.0,16,D,推奨必要日客数50人以下 / 必要月商150万円以下 / 初期投資は重め / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商817,241円、必要日客数26人が目安。"
香川町浅野貸店舗 1階店舗,香川県高松市香川町浅野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-590a7804e5a69c3b10d8431f/,34.2587691,134.0425443,8万円,80000.0,70.00㎡,70.0,,21.18,3778.0,不可,郊外,中規模,店舗系,1階・路面想定,不明,郊外・駐車場依存型,,郊外生活圏カフェ,21.0,1050,240000.0,727273.0,27972.0,27.0,27.0,40.0,9317000.0,5,D,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 1階・路面想定 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商727,273円、必要日客数27人が目安。"
漆原テナント・事務所 1階,香川県高松市香川町大野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-640d66da94d1b8330da06dcb/,34.2664945,134.0255298,8万円,80000.0,85.20㎡,85.2,,25.77,3104.0,不可,郊外,中規模,店舗系,1階・路面想定,不明,郊外・駐車場依存型,,郊外生活圏カフェ,26.0,1050,240000.0,727273.0,27972.0,27.0,27.0,40.0,11340120.0,5,D,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 1階・路面想定 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商727,273円、必要日客数27人が目安。"
高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-624cf5c1655be9215e0d7ed0/,34.2718437,134.0304778,8.5万円,85000.0,71.01㎡,71.01,,21.48,3957.0,不可,郊外,中規模,店舗系,不明,不明,郊外・駐車場依存型,,郊外生活圏カフェ,21.0,1050,245000.0,742424.0,28555.0,27.0,27.0,41.0,9451431.0,0,D,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資1500万円以下 / 飲食不可のため原則対象外 / 郊外で駐車場確認必要 / 席数に対する必要回転数は低め,"郊外・駐車場依存型。必要月商742,424円、必要日客数27人が目安。"
サントピア８８ 2階部分,香川県高松市太田上町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66f5eab3bb872232557dfacb/,34.2970932,134.042515,8.8万円,88000.0,100.02㎡,100.02,,30.26,2909.0,確認必要,準中心街,中規模,不明,上階・地下想定,不明,準中心街・生活圏型,,要個別検討,30.0,1000,248000.0,708571.0,27253.0,27.0,27.0,41.0,15128026.0,29,D,推奨必要日客数50人以下 / 必要月商80万円以下 / 初期投資は重め / 飲食可否確認必要 / 上階・地下で集客難度あり / 席数に対する必要回転数は低め,"準中心街・生活圏型。必要月商708,571円、必要日客数27人が目安。"
高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5af17282e5a69c474d30150d/,34.2718437,134.0304778,8.8万円,88000.0,63.44㎡,63.44,,19.19,4586.0,可,郊外,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,17.0,900,188000.0,494737.0,19028.0,21.0,21.0,30.0,7676240.0,87,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 郊外で駐車場確認必要 / 低客数で成立しやすい / 席数に対する必要回転数は低め,"低固定費・小商圏型。必要月商494,737円、必要日客数21人が目安。"
