物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント
ＳＹＫ店舗【伏石町】テナント,高松市伏石町-2166-10,テナント香川,https://www.tenantkagawa.com/article/search/00002614,34.312094,134.0553112,,,,,,,,可,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
高橋ビル２Ｆ【松福町】テナント,高松市松福町2-11-18,テナント香川,https://www.tenantkagawa.com/article/search/00002006,,,,,,,,,,確認必要,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
扇町メゾネット【扇町】タウンハウステナント,高松市扇町1丁目-1-7,テナント香川,https://www.tenantkagawa.com/article/search/00002046,34.3467131,134.036024,,,,,,,,確認必要,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
橋本ビル１Ｆ【木太町】レインボーエリアテナント,高松市木太町-１１３０-１,テナント香川,https://www.tenantkagawa.com/article/search/00001904,34.3278475,134.0747791,,,,,,,,確認必要,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
ラフォーレナミキ南店１Ｆ北【香西南町】テナント,高松市香西南町-４７２,テナント香川,https://www.tenantkagawa.com/article/search/00001918,34.3394484,134.0002361,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
ＹＨ店舗1棟貸【国分寺町新居】,高松市国分寺町新居-1340-1,テナント香川,https://www.tenantkagawa.com/article/search/00002619,34.3150123,133.9666553,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
川田ビル【香西東町】,高松市香西東町-329-11,テナント香川,https://www.tenantkagawa.com/article/search/00002622,34.3403451,134.007635,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
二ツ橋ビル201,高松市上之町1丁目-13-18,テナント香川,https://www.tenantkagawa.com/article/search/00002627,34.3209651,134.0447038,,,,,,,,確認必要,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
二ツ橋ビル202,高松市上之町1丁目-13-18,テナント香川,https://www.tenantkagawa.com/article/search/00002629,34.3209651,134.0447038,,,,,,,,確認必要,準中心街,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
新田借地【新田町】,高松市新田町甲-573-6,テナント香川,https://www.tenantkagawa.com/article/search/00002633,,,,,,,,,,確認必要,郊外,不明,店舗系,不明,不明,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,1000,,,,,,,,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。
