property_index,物件名,所在地,nearby_500m_count,nearby_1000m_count,nearest_competitor_name,nearest_competitor_distance_m
135,京都興産ビル 3F,香川県高松市瓦町１丁目,10,14,世界劇場,82.2
136,じゃこ丸ビル ５階　南,香川県高松市西の丸町,3,11,CAFE LOURDES,426.7
137,パールコート 1階,香川県高松市百間町,9,15,くつわ堂 総本店,215.4
138,高松市 百間町 (瓦町駅) の貸店舗（一部）,香川県高松市百間町,9,15,くつわ堂 総本店,215.4
139,セントラル高松中新町ビル（旧太陽生命高松中新町ビル） ３０２,香川県高松市中新町,3,11,グレコ,129.0
140,セントラル高松中新町ビル（旧太陽生命高松中新町ビル） ２０２,香川県高松市中新町,3,11,グレコ,129.0
141,高松市 東山崎町 (水田駅) の貸店舗・事務所(一括),香川県高松市東山崎町,1,1,モスバーガー フレスポ高松店,408.0
143,ＡＫビルⅩⅢ　１階 1階,香川県高松市百間町,9,15,くつわ堂 総本店,215.4
144,ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 １Ｆ,香川県高松市塩屋町,6,14,世界劇場,336.7
145,高松市 鍛冶屋町 (瓦町駅) の貸店舗（一部）,香川県高松市鍛冶屋町,10,14,5デイズコーヒー,78.6
147,プレシャス番町ビル（第一讃機ビル） 2F南東コスモス,香川県高松市番町３丁目,0,12,城の眼,689.3
148,巧匠ビル　１・２階,香川県高松市今新町,10,15,dot．,167.9
151,ガーデンコート高松 2F,香川県高松市大工町,9,15,dot．,214.1
152,エーワン藤塚ビル　１階駐車場・倉庫　２階・３階事務所,香川県高松市藤塚町２丁目,1,7,グレコ,431.4
153,ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ５Ｆ,香川県高松市塩屋町,6,14,世界劇場,336.7
154,ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ４Ｆ,香川県高松市塩屋町,6,14,世界劇場,336.7
155,高松市 林町 (伏石駅) の貸店舗（一括）,香川県高松市林町,1,2,逸珈琲,495.0
156,カーラビル １F,香川県高松市瓦町２丁目,8,14,三びきの子ぶた,129.1
158,ソレイユ第一ビル 202,香川県高松市亀井町,6,14,南珈琲店,130.1
160,瓦町スクエアビルド ５階,香川県高松市瓦町２丁目,8,14,三びきの子ぶた,129.1
161,ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,10,14,世界劇場,82.2
167,プレシャス番町ビル 4F,香川県高松市番町３丁目,0,12,城の眼,689.3
170,貸店舗（一部） ソレイユ第一ビル 202,香川県高松市亀井町,9,14,南珈琲店,123.1
173,貸店舗・事務所(一部) 近藤第２ビル 3F,香川県高松市常磐町２丁目,6,14,三びきの子ぶた,150.6
174,貸店舗（一部） ソウゲンビル 5階南,香川県高松市鍛冶屋町,10,14,5デイズコーヒー,78.6
176,貸店舗（一部） クイ－ンズスケア第一 ５階Ｇ,香川県高松市瓦町２丁目,9,14,南珈琲店,123.1
185,貸店舗（一部） ソウゲンビル 5階,香川県高松市鍛冶屋町,10,14,5デイズコーヒー,78.6
188,貸店舗（一部） 小林店舗 １階　東,香川県高松市古馬場町,12,14,世界劇場,78.2
189,貸店舗（一部） ＡＫビル片原町Ⅱ　２階　北東 （２０１）,香川県高松市片原町,6,14,くつわ堂 総本店,324.4
