property_index,物件名,所在地,property_latitude,property_longitude,competitor_id,competitor_name,competitor_genre,competitor_source,competitor_address,competitor_lat,competitor_lng,rating,review_count,url,distance_m,within_500m,within_1000m
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,34.3370322,134.048861,TBL00004,三びきの子ぶた,瓦町、栗林、今橋 / カフェ,tabelog,高松市常磐町1-4-9,34.338805915014,134.051643709676,,224,https://tabelog.com/kagawa/A3701/A370101/37003080/,322.8,True,True
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,34.3370322,134.048861,TBL00005,まちのシューレ 963 カフェ,片原町（高松）、瓦町、高松築港 / カフェ,tabelog,高松市丸亀町13-3高松丸亀町参番街東館 2F,34.344431387421,134.050395476655,,121,https://tabelog.com/kagawa/A3701/A370101/37005810/,834.7,False,True
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,34.3370322,134.048861,TBL00006,コーヒーサロン 皇帝,片原町（高松）、高松築港、高松 / 喫茶店,tabelog,高松市兵庫町11-5,34.345992894073,134.049778987677,,124,https://tabelog.com/kagawa/A3701/A370101/37004429/,999.9,False,True
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,34.3370322,134.048861,TBL00011,グレコ,瓦町、栗林、栗林公園北口 / 喫茶店,tabelog,高松市田町11-2,34.337534757488,134.049009864241,,89,https://tabelog.com/kagawa/A3701/A370101/37004273/,57.5,True,True
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,34.3370322,134.048861,TBL00020,城の眼,片原町（高松）、高松築港、瓦町 / 喫茶店,tabelog,高松市紺屋町2-4,34.344588045191,134.048731333599,,68,https://tabelog.com/kagawa/A3701/A370101/37002683/,840.3,False,True
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,34.3370322,134.048861,TBL00023,dot．,高松市 / バー、ダイニングバー、カフェ・喫茶店(カフェ),tabelog,高松市古馬場町1-11キタジマビル 2F,34.343169869084,134.051125456603,3.14,33,https://tabelog.com/kagawa/A3701/A370101/37001113/,713.4,False,True
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,34.3370322,134.048861,TBL00025,5デイズコーヒー,高松市 /カフェ・喫茶店(カフェ)、洋食、バル,tabelog,高松市鍛冶屋町1-112F,34.343462397504,134.049183621094,3.26,56,https://tabelog.com/kagawa/A3701/A370101/37009320/,715.6,False,True
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,34.3370322,134.048861,TBL00026,サテンドール,高松市 /カフェ・喫茶店(喫茶店),tabelog,高松市塩上町1-1-23佐藤ビル １F,34.339160050423,134.053562075856,3.07,12,https://tabelog.com/kagawa/A3701/A370101/37005624/,492.2,True,True
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,34.3370322,134.048861,TBL00028,世界劇場,高松市 /カフェ・喫茶店(カフェ),tabelog,高松市古馬場町13-7ル-ベルビル 4F,34.341952230009,134.05140449016,3.08,10,https://tabelog.com/kagawa/A3701/A370101/37013284/,594.8,False,True
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,34.3370322,134.048861,TBL00031,テンペル,高松市 /カフェ・喫茶店(カフェ),tabelog,高松市塩上町1-3-18,34.338043413282,134.0532033304,3.07,11,https://tabelog.com/kagawa/A3701/A370101/37010713/,414.3,True,True
9,サニープレイス松縄103号室【松縄町】レインボーテナント,香川県高松市松縄町-1030―6,34.317896,134.0617251,TBL00009,珈琲美人 文月,林道、木太東口 / 喫茶店,tabelog,高松市木太町828-1,34.31692885436,134.071552154641,,117,https://tabelog.com/kagawa/A3701/A370101/37002702/,908.9,False,True
