competitor_id,store_name,source,genre,address,lat,lng,rating,review_count,business_hours,closed_days,url,linked_site_name,linked_url,memo
GMP00001,ABUKU COFFEE ＆ LATTEART,google_maps,コーヒーショップ・喫茶店,〒760-0053 香川県高松市田町６−１３,34.335298,134.0486679,4.9,101,営業時間外,,"https://www.google.com/maps/place/ABUKU+COFFEE+%EF%BC%86+LATTEART/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb0048d36147:0x955defe82929472e!8m2!3d34.335298!4d134.0486679!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSSmJUWnRNMWhCRUFF4AEA-gEECDkQFw!16s%2Fg%2F11m5jjv74v?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",Instagram,https://www.instagram.com/abuku.coffee_latteart/,
GMP00002,LOGUE CAFE,google_maps,コーヒーショップ・喫茶店,〒760-0024 香川県高松市兵庫町７−１０,34.3464983,134.0460471,4.9,101,営業時間外,,"https://www.google.com/maps/place/LOGUE+CAFE/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb00016b36b1:0xb13f16eef1e14735!8m2!3d34.3464983!4d134.0460471!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4yYURrdFIyNW5SUkFC4AEA-gEECBAQFQ!16s%2Fg%2F11y4zpw6j3?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",Instagram,https://www.instagram.com/logue_cafe_2024?igsh=MTVnNnByb3NzYjVmbw==,
GMP00003,Dr.s CAFE 未来図,google_maps,コーヒーショップ・喫茶店,〒760-0031 香川県高松市北浜町３−２,34.3212163,134.0411907,4.9,101,営業時間外,,"https://www.google.com/maps/place/Dr.s+CAFE+%E6%9C%AA%E6%9D%A5%E5%9B%B3/@34.335298,133.9724502,13z/data=!3m1!5s0x3553ebb528685c0d:0x4f0d4a8a2a68dc77!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553ebdee36811bf:0xcad751424ef5fba9!8m2!3d34.3212163!4d134.0411907!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0c2FtUjVNVXhOTWpWb1VXcFdSazR5Ums5V2JHOHlZMWN3ZWsxclJSQULgAQD6AQUIigEQGA!16s%2Fg%2F11rjjkr8v5?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",公式サイト候補,http://www.umie.info/,
GMP00004,カフェ ド ミストラル,google_maps,カフェ ド ミストラル - Google マップ,〒760-0020 香川県高松市錦町１丁目１４−３,34.3463593,134.0455235,4.9,101,営業時間外,,"https://www.google.com/maps/place/%E3%82%AB%E3%83%95%E3%82%A7+%E3%83%89+%E3%83%9F%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AB/@34.335298,133.9724502,13z/data=!3m1!5s0x3553eb907235d3d1:0xa9243d77e20b579f!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb5bf4266675:0xaa4b6aa92be6e51d!8m2!3d34.3463593!4d134.0455235!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1U05sWkdiR1prTVdneVYxUm9hMlZYUlRKWFNFazFZMnRqTWxaV1JSQULgAQD6AQQIDxAa!16s%2Fg%2F11j00f5_62?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",公式サイト候補,https://cafe-du-mistral.wpro.work/,
GMP00005,喫茶 クナウフ,google_maps,喫茶 クナウフ - Google マップ,〒760-0024 香川県高松市兵庫町４−６,34.346672,134.0470416,4.9,101,営業時間外,,"https://www.google.com/maps/place/%E5%96%AB%E8%8C%B6+%E3%82%AF%E3%83%8A%E3%82%A6%E3%83%95/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb933f32d1e7:0xc51fba67dc5c0736!8m2!3d34.346672!4d134.0470416!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQya3dNVlV4Vm0xVmJGVjZVMGhvVms1dE9VNVNWVTEzVTFSS1RGTnNSUkFC4AEA-gEECAAQFA!16s%2Fg%2F11ts5z7bv9?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",Instagram,https://www.instagram.com/coffee_knauf/,
GMP00006,kokokasiko,google_maps,コーヒーショップ・喫茶店,〒761-8073 香川県高松市太田下町３０１５−１２,34.3465014,134.0458388,4.9,101,営業時間外,,"https://www.google.com/maps/place/kokokasiko/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb14cd056c9b:0xffa7ab9e30bf6b56!8m2!3d34.3465014!4d134.0458388!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeGQyOXhVbEZSRUFF4AEA-gEECCcQDg!16s%2Fg%2F11krsz4cyf?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",Instagram,https://instagram.com/creer_coffee,
GMP00007,cafe SORAのいろ,google_maps,コーヒーショップ・喫茶店,〒760-0024 香川県高松市兵庫町７−１３,34.3063762,134.1110338,4.9,101,営業時間外,,"https://www.google.com/maps/place/cafe+SORA%E3%81%AE%E3%81%84%E3%82%8D/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553957029e05c2b:0x71dd86127a781f!8m2!3d34.3063762!4d134.1110338!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0S1NXVllWWHBSVkZwM1kwWm9TbFl5YkZKVE1FWk5aRE5CZEUxdFl4QULgAQD6AQQIDBAe!16s%2Fg%2F11rfdd569p?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",Instagram,https://instagram.com/kokokasiko.uru?igshid=MzRlODBiNWFlZA==,
GMP00008,雨やすみ,google_maps,コーヒーショップ・喫茶店,〒760-0020 香川県高松市錦町２丁目８−１４ 木村ビル 2F,34.3467806,134.0427042,4.9,101,営業時間外,,"https://www.google.com/maps/place/%E9%9B%A8%E3%82%84%E3%81%99%E3%81%BF/@34.3467806,133.9664865,13z/data=!3m1!5s0x3553eb920a60c6bd:0x21f0af1d160250f1!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb4af0d6e3c7:0x17fd77e20437db54!8m2!3d34.3467806!4d134.0427042!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5LWjNKNVpYcEJSUkFC4AEA-gEECEYQHA!16s%2Fg%2F11k4925syh?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",Instagram,https://instagram.com/ame_yasumi?igshid=OGRjNzg3M2Y=,
GMP00009,KID COFFEE&WAFFLE,google_maps,コーヒーショップ・喫茶店,〒760-0074 香川県高松市桜町１丁目１−８,34.3320328,134.0525347,4.9,101,営業時間外,,"https://www.google.com/maps/place/KID+COFFEE%26WAFFLE/@34.3467806,133.9664865,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb0018e08445:0xd641b4ab3af9fbff!8m2!3d34.3320328!4d134.0525347!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNWtSRmw2Vms1VlZtZzJUVEphZGxac2FGQmtWVEZVV2xoQk5GTnRZeEFC4AEA-gEECAAQGw!16s%2Fg%2F11vwpflxxk?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",Instagram,https://www.instagram.com/_kidcoffee_?igsh=MWE2cmszcXpqMXdjaQ==&utm_source=qr,
GMP00010,kissa kai,google_maps,コーヒーショップ・喫茶店,〒761-0104 香川県高松市高松町２４８７−１０,34.3386867,134.1097975,4.9,101,営業時間外,,"https://www.google.com/maps/place/CAFE+Lululu/@34.3386867,134.0335798,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x35539349f4984643:0x91fb44a64b172c0b!8m2!3d34.3386867!4d134.1097975!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0R05HSnVjRFJOUlZKNFZFZEdTMWRyY0doUmJtaHBUVlpHYTJOVlJSQULgAQD6AQQIABAk!16s%2Fg%2F11pzkkzsrk?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",Instagram,https://www.instagram.com/cafelululu?igsh=MTY0ejA4N283cWoweQ==,
