article_id,name,detail_url,page_no,source_site,list_text
66279c9acfabdb482d0d0275,近藤第２ビル 3F,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/,1,takamatsu_housing,"近藤第２ビル 3F 高松琴平電鉄琴平線 / 瓦町駅 高松市常磐町２丁目 徒歩3分 2 万円 3,000円 3ヶ月/ なし/ なし 27.25㎡ 8.24坪／0.2427万円 貸店舗・事務所(一部) 1981年1月(築45年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
69cf5e9d3e48c96bbe22d527,ソウゲンビル 5階南,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,1,takamatsu_housing,"ソウゲンビル 5階南 高松琴平電鉄琴平線 / 瓦町駅 高松市鍛冶屋町 徒歩10分 2.53 万円 7,700円 3ヶ月/ なし/ なし 16.00㎡ 4.83坪／0.5228万円 貸店舗（一部） 1991年8月(築34年11ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
5558977c42494231d07c6e16,クイーンズスクエア第２ビル 5－D,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/,1,takamatsu_housing,"クイーンズスクエア第２ビル 5－D 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 3.3 万円 7,700円 3ヶ月/ なし/ なし 18.96㎡ 5.73坪／0.5754万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
6926a443aa781f981629c2d9,ＡＫビル鍛冶屋町Ⅱ １Ｆ,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6926a443aa781f981629c2d9/,1,takamatsu_housing,ＡＫビル鍛冶屋町Ⅱ １Ｆ 高松琴平電鉄琴平線 / 片原町駅 高松市鍛冶屋町 徒歩10分 3.85 万円 - 6ヶ月/ なし/ なし 13.68㎡ 4.13坪／0.9304万円 貸店舗（一部） 1988年10月(築37年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
5ae18c079732ec4a1d17c2d6,クイ－ンズスケア第一 ５階Ｇ,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ae18c079732ec4a1d17c2d6/,1,takamatsu_housing,"クイ－ンズスケア第一 ５階Ｇ 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町２丁目 徒歩5分 3.96 万円 12,100円 2ヶ月/ なし/ 3.96万円 21.07㎡ 6.37坪／0.6214万円 貸店舗（一部） 1984年10月(築41年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
68363e5e5de080734497111d,スモールショップ　中央南側 ２階一部,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68363e5e5de080734497111d/,1,takamatsu_housing,スモールショップ　中央南側 ２階一部 高松琴平電鉄琴平線 / 空港通り駅 高松市香川町大野 徒歩29分 4 万円 なし 2ヶ月/ なし/ 1ヶ月 19.00㎡ 5.74坪／0.696万円 貸店舗・事務所(一部) 1996年11月(築29年8ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
5558977d4249410557f3b317,クイーンズスクエア第２ビル 3-C,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f3b317/,1,takamatsu_housing,"クイーンズスクエア第２ビル 3-C 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 4.4 万円 7,700円 3ヶ月/ なし/ なし 22.47㎡ 6.79坪／0.6474万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
6663fef91bce1051d51b1864,牟礼町牟礼　戸建　２Ｆ和室一部 2F,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6663fef91bce1051d51b1864/,1,takamatsu_housing,牟礼町牟礼　戸建　２Ｆ和室一部 2F パノラマ 高松琴平電鉄志度線 / 八栗駅 高松市牟礼町牟礼 徒歩3分 4.4 万円 - 2ヶ月/ なし/ 1ヶ月 107.05㎡ 32.38坪／0.1359万円 貸店舗・事務所(一部) 1966年1月(築60年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
67c006c873b679516875e115,宮脇町ビル 東,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67c006c873b679516875e115/,1,takamatsu_housing,宮脇町ビル 東 ＪＲ高徳線 / 栗林公園北口駅 高松市宮脇町１丁目 徒歩11分 4.5 万円 なし 6ヶ月/ なし/ なし 44.19㎡ 13.36坪／0.3367万円 貸店舗（一部） 1980年8月(築45年11ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
6628b3b9d9cbec77c6d93594,飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6628b3b9d9cbec77c6d93594/,1,takamatsu_housing,飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部 高松琴平電鉄琴平線 / 空港通り駅 高松市香川町大野 徒歩29分 5 万円 なし 2ヶ月/ なし/ 1ヶ月 20.73㎡ 6.27坪／0.7974万円 貸店舗（一部） 1996年11月(築29年8ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
68362b1196571f4ba1d7d943,スモールショップ　２Ｆ北側入口西側 ２階一部,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68362b1196571f4ba1d7d943/,1,takamatsu_housing,スモールショップ　２Ｆ北側入口西側 ２階一部 高松琴平電鉄琴平線 / 空港通り駅 高松市香川町大野 徒歩29分 5 万円 なし 2ヶ月/ なし/ 1ヶ月 30.50㎡ 9.22坪／0.542万円 貸店舗・事務所(一部) 1996年11月(築29年8ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
5558977d4249410557f7b317,クイーンズスクエア第２ビル 5-C,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f7b317/,1,takamatsu_housing,"クイーンズスクエア第２ビル 5-C 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 5 万円 7,700円 1ヶ月/ なし/ なし 26.69㎡ 8.07坪／0.6193万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
555b55d54249423b71542600,クイーンズスクエア第２ビル 3-B,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555b55d54249423b71542600/,1,takamatsu_housing,"クイーンズスクエア第２ビル 3-B 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 5.28 万円 7,700円 3ヶ月/ なし/ なし 24.70㎡ 7.47坪／0.7067万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
64e2d04b3f7cf6132af9cfa9,高松市 春日町 の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-64e2d04b3f7cf6132af9cfa9/,1,takamatsu_housing,高松市 春日町 の貸店舗（一部） 【バス】 コトデン　春日川停 停歩1分 高松市春日町 - 5.5 万円 - 3ヶ月/ なし/ なし 38.30㎡ 11.58坪／0.4748万円 貸店舗（一部） 1976年1月(築50年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする
5558977d4249410557f8b317,クイーンズスクエア第２ 7-B,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,1,takamatsu_housing,"クイーンズスクエア第２ 7-B 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 5.5 万円 7,700円 3ヶ月/ なし/ なし 31.57㎡ 9.54坪／0.576万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
5c34354ad032a77cf332d8cd,クイーンズスクエアービル第２ 6-C,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,1,takamatsu_housing,"クイーンズスクエアービル第２ 6-C 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 5.5 万円 7,700円 3ヶ月/ なし/ なし 29.55㎡ 8.93坪／0.6153万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
5bf21f5ce5a69c7914b84609,新井ビル 204,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf21f5ce5a69c7914b84609/,1,takamatsu_housing,"新井ビル 204 【バス】 田中 停歩1分 高松市成合町 - 5.5 万円 7,000円 15.00万円/ なし/ なし 49.59㎡ 15.00坪／0.3667万円 貸店舗・事務所(一部) 1991年10月(築34年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
653cce171dae78356cd1ee74,高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),https://www.takamatsuhousing.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,1,takamatsu_housing,"高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部) 高松琴平電鉄琴平線 / 栗林公園駅 高松市今里町１丁目 徒歩13分 6 万円 3,000円 3ヶ月/ なし/ 1ヶ月 37.50㎡ 11.34坪／0.529万円 貸店舗・事務所(一部) 1981年1月(築45年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする"
