article_id,name,address,rent_fee,contract_area,detail_url,source_site
00002519,ＲＩ事務所【香西本町】,高松市香西本町-365-1,"330,000",326.71m<sup>2</sup><br />（98.83坪）,https://www.tenantkagawa.com/article/search/00002519,tenant_kagawa
00002511,ラフォーレナミキ1Ｆ南東号【香西南町】,高松市香西南町-472,"121,000",94.01m<sup>2</sup><br />（28.44坪）,https://www.tenantkagawa.com/article/search/00002511,tenant_kagawa
00002381,山下店舗【上之町】,高松市上之町3--9-40,"50,000",39.89m<sup>2</sup><br />（12.07坪）,https://www.tenantkagawa.com/article/search/00002381,tenant_kagawa
00002366,内外テナント1階【国分寺町福家】,高松市国分寺町福家甲823--3,"300,000",108.27m<sup>2</sup><br />（32.75坪）,https://www.tenantkagawa.com/article/search/00002366,tenant_kagawa
00002247,三谷倉庫付事務所１棟貸【木太町】,高松市木太町-3173-18,"80,000",104.34m<sup>2</sup><br />（31.56坪）,https://www.tenantkagawa.com/article/search/00002247,tenant_kagawa
00002263,阿部ビル101号【瓦町】,高松市瓦町2--8-8,"55,000",25.92m<sup>2</sup><br />（7.84坪）,https://www.tenantkagawa.com/article/search/00002263,tenant_kagawa
00002264,阿部ビル201号【瓦町】,高松市瓦町2--8-8,"55,000",25.92m<sup>2</sup><br />（7.84坪）,https://www.tenantkagawa.com/article/search/00002264,tenant_kagawa
00002275,アイアイビル1，2F【南新町】,高松市南新町5--3,"660,000",352.16m<sup>2</sup><br />（106.53坪）,https://www.tenantkagawa.com/article/search/00002275,tenant_kagawa
00002282,あかねビル１棟貸【茜町】,高松市茜町19--12,"777,128",691.36m<sup>2</sup><br />（209.14坪）,https://www.tenantkagawa.com/article/search/00002282,tenant_kagawa
00002286,オフィスビルいずみ東棟１F【上天神町】,高松市上天神町780--6,"330,000",180.87m<sup>2</sup><br />（54.71坪）,https://www.tenantkagawa.com/article/search/00002286,tenant_kagawa
00002287,オフィスビルいずみ東棟2F【上天神町】,高松市上天神町780--6,"220,000",207.89m<sup>2</sup><br />（62.89坪）,https://www.tenantkagawa.com/article/search/00002287,tenant_kagawa
00002288,オフィスビルいずみ東棟3F【上天神町】,高松市上天神町780--6,"165,000",209.99m<sup>2</sup><br />（63.52坪）,https://www.tenantkagawa.com/article/search/00002288,tenant_kagawa
00002151,Sunriseせきもと１F【中央町】,高松市中央町15-15,"50,000",46.53m<sup>2</sup><br />（14.08坪）,https://www.tenantkagawa.com/article/search/00002151,tenant_kagawa
00002223,オフィスビルいずみ東１棟貸【上天神町】,高松市上天神町780--6,"550,000",584m<sup>2</sup><br />（176.66坪）,https://www.tenantkagawa.com/article/search/00002223,tenant_kagawa
00002253,Crest Court K2　1-Ａ【伏石町】,高松市伏石町-2152-4,"319,000",134.54m<sup>2</sup><br />（40.70坪）,https://www.tenantkagawa.com/article/search/00002253,tenant_kagawa
00001566,プリンス三条テナント【三条町】,高松市三条町-474-1,"88,000",71.33m<sup>2</sup><br />（21.58坪）,https://www.tenantkagawa.com/article/search/00001566,tenant_kagawa
