article_id,name,address,rent_fee,contract_area,detail_url,source_site,物件名,賃　料,面　積,共益費・管理費,所在地,アクセス1,アクセス2,物件番号,店舗形態,オススメ業種,物件の状態,引越し時期,契約形態と期間,交　通1,交　通2,敷　金,精算方法,備考,建物構造,建物階建て,施工年月,募集物件の階数,契約面積,用途地域,水道,下水道,ガス,エレベータ,エアコン,トイレ,給湯室,キッチン,ネット環境,セキュリティ,利用時間,シャッター,照明設備,内装業者指定,状　況,駐車料金,空き台数,取引態様,客付,床仕様,分割利用,礼　金,その他月額費用 1,敷地面積
2327,ラフォーレナミキ南ビル１Ｆ南西【香西南町】テナント,高松市香西南町-４７２,"200,000",85.74m<sup>2</sup><br />（25.94坪）,https://www.tenantkagawa.com/article/search/00002327,tenant_kagawa,ラフォーレナミキ南ビル１Ｆ南西【香西南町】テナント,"200,000円（税込）",85.74m 2 （25.94坪）,-,香川県高松市香西南町-４７２,JR予讃線香西駅　徒歩12,-,3774,"店舗, 路面店舗","塾・学校・教育関係, 物販関係, 美容関係, サービス業",空き,即,普通契約期間：2年間,JR予讃線香西駅　徒歩12,-,3ヶ月,実費,■駐車場は共用■ゴミの回収は各自で業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■仲介手数料：賃料1か月分,鉄骨造,地上1階,1984（昭和59）年 01月,地上 1階  1南西号室,85.74m 2 (25.94坪）,準工業,公営,公共下水,,無,,有/専用,,無,,無,,有/自動,無,無,空有,"4,400円（税込）",,媒介,可,スケルトン,,,,
2336,オーレックス西宝　１Ｆ【西宝町】テナント,高松市西宝町1--16-26,"30,000",38.83m<sup>2</sup><br />（11.75坪）,https://www.tenantkagawa.com/article/search/00002336,tenant_kagawa,オーレックス西宝　１Ｆ【西宝町】テナント,"30,000円（税込）",38.83m 2 （11.75坪）,-,香川県高松市西宝町1--16-26,JR高徳線昭和町駅　徒歩7,-,3193,"店舗,","事務所, 塾・学校・教育関係, 美容関係",空き,即,普通契約期間：2年間,JR高徳線昭和町駅　徒歩7,-,,実費,■共益費・水道料込■ゴミ回収は各自業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要■店舗総合保険：加入要■賃料3ヶ月フリーレント(但し違約金設定有り),鉄筋コンクリート造,地上5階,1996（平成8）年 03月,地上 1階  1号室,38.83m 2 (11.75坪）,商業地域,公営,公共下水,,無,有り/個別,有/専用,,有/専用,,無,,無,有,無,無し,,,媒介,可,タイルカーペット,,1ヶ月,,
2345,岡ビル１Ｆ【瓦町１丁目】テナント,高松市瓦町1--１３-１０,"66,000",28.12m<sup>2</sup><br />（8.51坪）,https://www.tenantkagawa.com/article/search/00002345,tenant_kagawa,岡ビル１Ｆ【瓦町１丁目】テナント,"66,000円（税込）",28.12m 2 （8.51坪）,-,香川県高松市瓦町1--１３-１０,ことでん琴平線瓦町駅　徒歩3,-,2097,"店舗, 路面店舗,","美容関係, 物販関係, サービス業",入居中,即,普通契約期間：2年間,ことでん琴平線瓦町駅　徒歩3,-,3ヶ月,実費,,鉄骨造,地上5階,1989（平成元年）年 04月,地上 1階  １号室,28.12m 2 (8.51坪）,,公営,公共下水,都市ガス,無,無,有/専用,無,無,無,無,24時間,無,無,無,無し,,,媒介,可,,可,,,
2101,丸協ビル２Ｆ【今里町】レインボーエリアテナント,高松市今里町2-29-21,"286,000",175.31m<sup>2</sup><br />（53.03坪）,https://www.tenantkagawa.com/article/search/00002101,tenant_kagawa,丸協ビル２Ｆ【今里町】レインボーエリアテナント,"286,000円（税込）",175.31m 2 （53.03坪）,-,香川県高松市今里町2-29-21,ことでん長尾線林道駅　徒歩13,-,3137,店舗,"事務所, 物販関係",空き,相談,普通契約期間：2年間,ことでん長尾線林道駅　徒歩13,-,6ヶ月,,"■ゴミの回収は各自で業者手配■鍵交換費用別途必要■看板、サイン工事は借主実費負担■現況：事務所仕様■空調及び照明器具の動作確認は貸主側で行いますが、使用不可の場合の修理は貸主は致しません。■賃料税別：260,000円■仲介手数料：賃料1ヶ月分",鉄骨造,地上2階,1991（平成3）年,地上 2階  2号室,175.31m 2 (53.03坪）,商業地域,公営,公共下水,,無,有り/個別,有/専用,,有/専用,,無,24時間,無,有,無,空有,"39,600円（税込）",6台,媒介,可,CFシート,,,,
2614,ＳＹＫ店舗【伏石町】テナント,高松市伏石町-2166-10,"450,000",397.86m<sup>2</sup><br />（120.35坪）,https://www.tenantkagawa.com/article/search/00002614,tenant_kagawa,ＳＹＫ店舗【伏石町】テナント,"450,000円（税込）",397.86m 2 （120.35坪）,-,香川県高松市伏石町-2166-10,ことでん琴平線伏石駅　徒歩14,-,2251,"事務所, 店舗（飲食店可）, ロードサイド, 一棟貸し","重飲食, 軽飲食, 美容関係, 物販関係",空き,相談,普通,ことでん琴平線伏石駅　徒歩14,-,1ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■エアコン修理交換は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要(賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担",鉄骨造,地上2階,1993（平成5）年 03月,地上 1階  １棟貸号室,397.86m 2 (120.35坪）,準工業,公営,公共下水,LPG,無,有り/個別,有/専用,有/専用,有/専用,無,無,24時間,無,有,無,空有無料,,,媒介,可,CFシート,,,,"1,160.13m 2 （350.94坪）"
2006,高橋ビル２Ｆ【松福町】テナント,高松市松福町2-11-18,"55,000",37.13m<sup>2</sup><br />（11.23坪）,https://www.tenantkagawa.com/article/search/00002006,tenant_kagawa,高橋ビル２Ｆ【松福町】テナント,"55,000円（税込）",37.13m 2 （11.23坪）,"4,400円（税込）",香川県高松市松福町2-11-18,ことでん志度線松島二丁目駅　徒歩4,-,2073,店舗,"塾・学校・教育関係, 物販関係, 軽飲食, サービス業",空き,即,普通契約期間：2年間,ことでん志度線松島二丁目駅　徒歩4,-,5ヶ月,,■ゴミの回収は各自で業者手配■鍵交換費用別途必要■看板、サイン工事は借主実費負担■仲介手数料：賃料1ヶ月,鉄筋コンクリート造,地上4階,1979（昭和54）年,地上 2階  2号室,37.13m 2 (11.23坪）,準工業,公営,公共下水,,無,,有/専用,,有/専用,,,,有/自動,有,無,無し,,,媒介,可,CFシート,,,,
2046,扇町メゾネット【扇町】タウンハウステナント,高松市扇町1丁目-1-7,"74,800",68.25m<sup>2</sup><br />（20.65坪）,https://www.tenantkagawa.com/article/search/00002046,tenant_kagawa,扇町メゾネット【扇町】タウンハウステナント,"74,800円（税込）",68.25m 2 （20.65坪）,-,香川県高松市扇町1丁目-1-7,JR予讃線高松駅　徒歩13,-,2145,"一棟貸し, 一棟貸し","塾・学校・教育関係, 事務所, 物販関係, サービス業",空き,即,普通契約期間：2年間,JR予讃線高松駅　徒歩13,-,5ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途■看板、サイン工事は借主負担■エアコン修理交換は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■建物用途変更手続きについては借主負担■自治会費入居者別途負担：300円/月【ゴミ当番なし】、
■猫･小型犬1匹飼育可：礼金1ヶ月プラス",鉄筋コンクリート造,地上2階,1983（昭和58）年 01月,地上 2階  1棟貸号室,68.25m 2 (20.65坪）,1種住居,公営,公共下水,LPG,無,有り/個別,有/専用,有/専用,有/専用,無,,24時間,無,有,無,近隣,"11,000円（税込）",1台,媒介,可,CFシート,,,,
1904,橋本ビル１Ｆ【木太町】レインボーエリアテナント,高松市木太町-１１３０-１,"132,000",49.63m<sup>2</sup><br />（15.01坪）,https://www.tenantkagawa.com/article/search/00001904,tenant_kagawa,橋本ビル１Ｆ【木太町】レインボーエリアテナント,"132,000円（税込）",49.63m 2 （15.01坪）,"5,500円（税込）",香川県高松市木太町-１１３０-１,ことでん長尾線林道駅　徒歩9,-,1903,店舗,"美容関係, 塾・学校・教育関係, 物販関係, 事務所",空き,即,普通契約期間：2年間,ことでん長尾線林道駅　徒歩9,-,4ヶ月,,"駐車場は近隣別途契約（賃料税別1台5,000円）■ゴミの回収は各自で業者手配■鍵交換費用別途必要■看板、サイン工事は借主実費負担■仲介手数料：賃料1ヶ月分",鉄筋コンクリート造,地上3階,1989（平成元年）年 12月,地上 1階  1号室,49.63m 2 (15.01坪）,商業地域,公営,公共下水,,無,有り/個別,有/専用,無,有/専用,無,無,24時間,有/自動,有,無,無し,,,媒介,可,Pタイル,,,,
1918,ラフォーレナミキ南店１Ｆ北【香西南町】テナント,高松市香西南町-４７２,"242,000",210.80m<sup>2</sup><br />（63.77坪）,https://www.tenantkagawa.com/article/search/00001918,tenant_kagawa,ラフォーレナミキ南店１Ｆ北【香西南町】テナント,"242,000円（税込）",210.80m 2 （63.77坪）,-,香川県高松市香西南町-４７２,JR予讃線香西駅　徒歩12,-,1921,店舗,,空き,即,普通契約期間：2年間,JR予讃線香西駅　徒歩12,-,3ヶ月,実費,■駐車場は他店舗と共同で使用。敷地内２０区画、敷地外３０区画。■1年未満短期違約金は家賃3ヶ月分■解約予告は3ヶ月前■ｺﾞﾐ回収は各自手配■鍵交換費用別途必要■看板、ｻｲﾝ工事は借主実費負担■仲介手数料：賃料1ヶ月,鉄骨造,地上1階,1984（昭和59）年 01月,地上 1階  １北号室,210.80m 2 (63.77坪）,準工業,公営,公共下水,LPG,無,無,有/共用,無,有/専用,無,無,24時間,無,無,無,空有,"4,400円（税込）",,媒介,可,CFシート,,,,
2619,ＹＨ店舗1棟貸【国分寺町新居】,高松市国分寺町新居-1340-1,"440,000",374.04m<sup>2</sup><br />（113.15坪）,https://www.tenantkagawa.com/article/search/00002619,tenant_kagawa,ＹＨ店舗1棟貸【国分寺町新居】,"440,000円（税込）",374.04m 2 （113.15坪）,-,香川県高松市国分寺町新居-1340-1,JR予讃線端岡駅　徒歩20,-,4426,"店舗, 路面店舗","美容関係, 物販関係, 重飲食, サービス業",空き,相談,普通契約期間：2年間,JR予讃線端岡駅　徒歩20,-,5ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途■看板、サイン工事は借主負担■エアコン修理交換は借主負担■浄化槽維持管理は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担",鉄骨造,地上1階,1998（平成10）年 05月,地上 1階  1棟貸号室,374.04m 2 (113.15坪）,,公営,浄化槽,LPG,無,有り/個別,有/専用,有/共用,有/専用,無,無,24時間,無,有,無,空有,,32台,媒介,可,CFシート,,,,
