物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント
丸協ビル２Ｆ【今里町】レインボーエリアテナント,香川県高松市今里町2-29-21,テナント香川,https://www.tenantkagawa.com/article/search/00002101,34.3252684,134.0629058,,,175.31m 2 (53.03坪）,175.31,,53.03,,不明,準中心街,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,53,1000,,,,,26515000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＳＹＫ店舗【伏石町】テナント,香川県高松市伏石町-2166-10,テナント香川,https://www.tenantkagawa.com/article/search/00002614,34.312094,134.0553112,,,397.86m 2 (120.35坪）,397.86,,120.35,,可,準中心街,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,120,1000,,,,,60175000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
高橋ビル２Ｆ【松福町】テナント,香川県高松市松福町2-11-18,テナント香川,https://www.tenantkagawa.com/article/search/00002006,,,,,37.13m 2 (11.23坪）,37.13,,11.23,,不明,準中心街,極小,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,11,1000,,,,,5615000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
扇町メゾネット【扇町】タウンハウステナント,香川県高松市扇町1丁目-1-7,テナント香川,https://www.tenantkagawa.com/article/search/00002046,34.3467131,134.036024,,,68.25m 2 (20.65坪）,68.25,,20.65,,不明,準中心街,中規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,21,1000,,,,,10325000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
橋本ビル１Ｆ【木太町】レインボーエリアテナント,香川県高松市木太町-１１３０-１,テナント香川,https://www.tenantkagawa.com/article/search/00001904,34.3278475,134.0747791,,,49.63m 2 (15.01坪）,49.63,,15.01,,不明,準中心街,小規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,15,1000,,,,,7505000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ラフォーレナミキ南店１Ｆ北【香西南町】テナント,香川県高松市香西南町-４７２,テナント香川,https://www.tenantkagawa.com/article/search/00001918,34.3394484,134.0002361,,,210.80m 2 (63.77坪）,210.8,,63.77,,不明,郊外,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,64,1000,,,,,31885000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＹＨ店舗1棟貸【国分寺町新居】,香川県高松市国分寺町新居-1340-1,テナント香川,https://www.tenantkagawa.com/article/search/00002619,34.3150123,133.9666553,,,374.04m 2 (113.15坪）,374.04,,113.15,,不明,郊外,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,113,1000,,,,,56575000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
川田ビル【香西東町】,香川県高松市香西東町-329-11,テナント香川,https://www.tenantkagawa.com/article/search/00002622,34.3403451,134.007635,,,80m 2 (24.20坪）,80.0,,24.2,,不明,郊外,中規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,24,1000,,,,,12100000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
二ツ橋ビル201,香川県高松市上之町1丁目-13-18,テナント香川,https://www.tenantkagawa.com/article/search/00002627,34.3209651,134.0447038,,,46.77m 2 (14.15坪）,46.77,,14.15,,不明,準中心街,小規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,14,1000,,,,,7075000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
二ツ橋ビル202,香川県高松市上之町1丁目-13-18,テナント香川,https://www.tenantkagawa.com/article/search/00002629,34.3209651,134.0447038,,,28.88m 2 (8.74坪）,28.88,,8.74,,不明,準中心街,極小,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,9,1000,,,,,4370000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
新田借地【新田町】,香川県高松市新田町甲-573-6,テナント香川,https://www.tenantkagawa.com/article/search/00002633,,,,,830m 2 (251.08坪）,830.0,,251.08,,不明,中心街,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,251,1000,,,,,125540000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ウッドネスト香西テナント101号室【香西北町】,香川県高松市香西北町79-10,テナント香川,https://www.tenantkagawa.com/article/search/00002600,,,,,60.04m 2 (18.16坪）,60.04,,18.16,,不明,郊外,小規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,18,1000,,,,,9080000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
one apartment店舗102号【新北町】,香川県高松市新北町-13-11,テナント香川,https://www.tenantkagawa.com/article/search/00002602,34.3529843,134.0256404,,,52m 2 (15.73坪）,52.0,,15.73,,可,不明,小規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,16,1000,,,,,7865000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＧＭ戸建【飯田町】,香川県高松市飯田町-18-1,テナント香川,https://www.tenantkagawa.com/article/search/00002609,34.3202048,134.0043584,,,196.70m 2 (59.50坪）,196.7,,59.5,,不明,中心街,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,60,1000,,,,,29750000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＳＫ店舗【屋島西町】,香川県高松市屋島西町-1483-1,テナント香川,https://www.tenantkagawa.com/article/search/00002611,34.3603444,134.0966033,,,108.57m 2 (32.84坪）,108.57,,32.84,,不明,郊外,中規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,33,1000,,,,,16420000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
チェリータウン103【桜町】テナント,香川県高松市桜町2-15-46,テナント香川,https://www.tenantkagawa.com/article/search/00002594,,,,,48.58m 2 (14.70坪）,48.58,,14.7,,不明,準中心街,小規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,15,1000,,,,,7350000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＳＺ店舗1棟貸【国分寺町福家】,香川県高松市国分寺町福家-3871-8,テナント香川,https://www.tenantkagawa.com/article/search/00002574,34.2790659,133.972223,,,130.53m 2 (39.49坪）,130.53,,39.49,,不明,郊外,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,39,1000,,,,,19745000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,テナント香川,https://www.tenantkagawa.com/article/search/00002560,34.3387776,134.0510854,,,109.81m 2 (33.22坪）,109.81,,33.22,,不明,不明,中規模,店舗系,1階・路面想定,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,33,1000,,,,,16610000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＭＮ店舗1Ｆ【香川町川東】,香川県高松市香川町川東上1764番地,テナント香川,https://www.tenantkagawa.com/article/search/00002548,,,,,168m 2 (50.82坪）,168.0,,50.82,,可,郊外,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,51,1000,,,,,25410000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ルヴァン店舗1棟貸【高松町】,香川県高松市高松町-466-1,テナント香川,https://www.tenantkagawa.com/article/search/00002532,34.3303413,134.1183614,,,121.41m 2 (36.73坪）,121.41,,36.73,,不明,郊外,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,37,1000,,,,,18365000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＲＩ事務所【香西本町】,香川県高松市香西本町-365-1,テナント香川,https://www.tenantkagawa.com/article/search/00002519,34.3506114,134.0024708,,,326.71m 2 (98.83坪）,326.71,,98.83,,不明,郊外,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,99,1000,,,,,49415000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ラフォーレナミキ1Ｆ南東号【香西南町】,香川県高松市香西南町-472,テナント香川,https://www.tenantkagawa.com/article/search/00002511,34.3394484,134.0002361,,,94.01m 2 (28.44坪）,94.01,,28.44,,不明,郊外,中規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,28,1000,,,,,14220000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
山下店舗【上之町】,香川県高松市上之町3--9-40,テナント香川,https://www.tenantkagawa.com/article/search/00002381,,,,,39.89m 2 (12.07坪）,39.89,,12.07,,不明,準中心街,小規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,12,1000,,,,,6035000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
内外テナント1階【国分寺町福家】,香川県高松市国分寺町福家甲823--3,テナント香川,https://www.tenantkagawa.com/article/search/00002366,,,,,108.27m 2 (32.75坪）,108.27,,32.75,,可,郊外,中規模,店舗系,1階・路面想定,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,33,1000,,,,,16375000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
三谷倉庫付事務所１棟貸【木太町】,香川県高松市木太町-3173-18,テナント香川,https://www.tenantkagawa.com/article/search/00002247,,,,,104.34m 2 (31.56坪）,104.34,,31.56,,不明,準中心街,中規模,倉庫・工場系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,32,1000,,,,,18147000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
阿部ビル101号【瓦町】,香川県高松市瓦町2--8-8,テナント香川,https://www.tenantkagawa.com/article/search/00002263,34.3252684,134.0629058,,,25.92m 2 (7.84坪）,25.92,,7.84,,不明,中心街,極小,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,8,1000,,,,,3920000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
阿部ビル201号【瓦町】,香川県高松市瓦町2--8-8,テナント香川,https://www.tenantkagawa.com/article/search/00002264,34.3252684,134.0629058,,,25.92m 2 (7.84坪）,25.92,,7.84,,不明,中心街,極小,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,8,1000,,,,,3920000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
アイアイビル1，2F【南新町】,香川県高松市南新町5--3,テナント香川,https://www.tenantkagawa.com/article/search/00002275,,,,,352.16m 2 (106.53坪）,352.16,,106.53,,不明,中心街,大型,店舗系,上階・地下想定,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,107,1000,,,,,53265000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
あかねビル１棟貸【茜町】,香川県高松市茜町19--12,テナント香川,https://www.tenantkagawa.com/article/search/00002282,,,,,691.36m 2 (209.14坪）,691.36,,209.14,,不明,不明,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,209,1000,,,,,104570000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
オフィスビルいずみ東棟１F【上天神町】,香川県高松市上天神町780--6,テナント香川,https://www.tenantkagawa.com/article/search/00002286,,,,,180.87m 2 (54.71坪）,180.87,,54.71,,不明,準中心街,大型,店舗系,1階・路面想定,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,55,1000,,,,,27355000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
オフィスビルいずみ東棟2F【上天神町】,香川県高松市上天神町780--6,テナント香川,https://www.tenantkagawa.com/article/search/00002287,,,,,207.89m 2 (62.89坪）,207.89,,62.89,,不明,準中心街,大型,店舗系,上階・地下想定,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,63,1000,,,,,31445000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
オフィスビルいずみ東棟3F【上天神町】,香川県高松市上天神町780--6,テナント香川,https://www.tenantkagawa.com/article/search/00002288,,,,,209.99m 2 (63.52坪）,209.99,,63.52,,不明,準中心街,大型,店舗系,上階・地下想定,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,64,1000,,,,,31760000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
Sunriseせきもと１F【中央町】,香川県高松市中央町15-15,テナント香川,https://www.tenantkagawa.com/article/search/00002151,,,,,46.53m 2 (14.08坪）,46.53,,14.08,,不明,準中心街,小規模,店舗系,1階・路面想定,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,14,1000,,,,,7040000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
オフィスビルいずみ東１棟貸【上天神町】,香川県高松市上天神町780--6,テナント香川,https://www.tenantkagawa.com/article/search/00002223,,,,,584m 2 (176.66坪）,584.0,,176.66,,不明,準中心街,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,177,1000,,,,,88330000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
Crest Court K2　1-Ａ【伏石町】,香川県高松市伏石町-2152-4,テナント香川,https://www.tenantkagawa.com/article/search/00002253,34.312094,134.0553112,,,134.54m 2 (40.70坪）,134.54,,40.7,,不明,準中心街,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,41,1000,,,,,20350000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
プリンス三条テナント【三条町】,香川県高松市三条町-474-1,テナント香川,https://www.tenantkagawa.com/article/search/00001566,34.3144166,134.047238,,,71.33m 2 (21.58坪）,71.33,,21.58,,不明,準中心街,中規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,22,1000,,,,,10790000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
近藤第２ビル 3F,香川県高松市常磐町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/,34.3375186,134.0511328,2万円,20000.0,27.25㎡,27.25,,8.24,2426.0,可,中心街,極小,不明,上階・地下想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,100000.0,312500.0,12019.0,9.0,4121563,92,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商312,500円、必要日客数9人が目安。"
