物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント
ソウゲンビル 5階南,香川県高松市鍛冶屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,34.3428604,134.0487343,2.53万円,25300.0,16.00㎡,16.0,,4.84,5227.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,105300.0,329063.0,12656.0,10.0,2420000,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商329,063円、必要日客数10人が目安。"
クイーンズスクエア第２ビル 5－D,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/,34.3412277,134.051584,3.3万円,33000.0,18.96㎡,18.96,,5.74,5754.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,113000.0,353125.0,13582.0,10.0,2867700,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商353,125円、必要日客数10人が目安。"
ＡＫビル鍛冶屋町Ⅱ １Ｆ,香川県高松市鍛冶屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6926a443aa781f981629c2d9/,34.3428604,134.0487343,3.85万円,38500.0,13.68㎡,13.68,,4.14,9304.0,不可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,118500.0,370313.0,14243.0,11.0,2069100,60,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食不可の可能性 / 小規模高単価モデル向き,"中心街・高単価型。必要月商370,313円、必要日客数11人が目安。"
クイ－ンズスケア第一 ５階Ｇ,香川県高松市瓦町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ae18c079732ec4a1d17c2d6/,34.3399504,134.0514047,3.96万円,39600.0,21.07㎡,21.07,,6.37,6213.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,119600.0,373750.0,14375.0,11.0,3186838,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商373,750円、必要日客数11人が目安。"
スモールショップ　中央南側 ２階一部,香川県高松市香川町大野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68363e5e5de080734497111d/,34.2664945,134.0255298,4万円,40000.0,19.00㎡,19.0,,5.75,6960.0,不明,郊外,極小,不明,上階・地下想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,5,900,120000.0,307692.0,11834.0,13.0,2442688,67,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商307,692円、必要日客数13人が目安。"
クイーンズスクエア第２ビル 3-C,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f3b317/,34.3412277,134.051584,4.4万円,44000.0,22.47㎡,22.47,,6.8,6473.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,124000.0,387500.0,14904.0,11.0,3398588,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商387,500円、必要日客数11人が目安。"
牟礼町牟礼　戸建　２Ｆ和室一部 2F,香川県高松市牟礼町牟礼,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6663fef91bce1051d51b1864/,34.3493325,134.133009,4.4万円,44000.0,107.05㎡,107.05,,32.38,1359.0,不明,郊外,中規模,不明,上階・地下想定,不明,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,36,1100,204000.0,658065.0,25310.0,23.0,17000879,47,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資は重め / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商658,065円、必要日客数23人が目安。"
宮脇町ビル 東,香川県高松市宮脇町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67c006c873b679516875e115/,34.3382366,134.0359162,4.5万円,45000.0,44.19㎡,44.19,,13.37,3366.0,可,準中心街,小規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,12,900,145000.0,371795.0,14300.0,16.0,5681177,95,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可,"低固定費・小商圏型。必要月商371,795円、必要日客数16人が目安。"
飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,香川県高松市香川町大野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6628b3b9d9cbec77c6d93594/,34.2664945,134.0255298,5万円,50000.0,20.73㎡,20.73,,6.27,7973.0,可,郊外,極小,不明,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,6,900,130000.0,333333.0,12821.0,14.0,2665100,98,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商333,333円、必要日客数14人が目安。"
スモールショップ　２Ｆ北側入口西側 ２階一部,香川県高松市香川町大野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68362b1196571f4ba1d7d943/,34.2664945,134.0255298,5万円,50000.0,30.50㎡,30.5,,9.23,5419.0,不明,郊外,極小,不明,上階・地下想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,8,900,130000.0,333333.0,12821.0,14.0,3921156,67,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商333,333円、必要日客数14人が目安。"
クイーンズスクエア第２ビル 5-C,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f7b317/,34.3412277,134.051584,5万円,50000.0,26.69㎡,26.69,,8.07,6193.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,130000.0,406250.0,15625.0,12.0,4036863,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商406,250円、必要日客数12人が目安。"
クイーンズスクエア第２ビル 3-B,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555b55d54249423b71542600/,34.3412277,134.051584,5.28万円,52800.0,24.70㎡,24.7,,7.47,7067.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,132800.0,415000.0,15962.0,12.0,3735875,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商415,000円、必要日客数12人が目安。"
高松市 春日町 の貸店舗（一部）,香川県高松市春日町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-64e2d04b3f7cf6132af9cfa9/,34.3304601,134.0917088,5.5万円,55000.0,38.30㎡,38.3,,11.59,4747.0,不明,郊外,極小,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,10,900,135000.0,346154.0,13314.0,15.0,4923944,75,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商346,154円、必要日客数15人が目安。"
クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,34.3412277,134.051584,5.5万円,55000.0,31.57㎡,31.57,,9.55,5759.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,1300,135000.0,421875.0,16226.0,12.0,4774963,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商421,875円、必要日客数12人が目安。"
クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,34.3412277,134.051584,5.5万円,55000.0,29.55㎡,29.55,,8.94,6153.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,1300,135000.0,421875.0,16226.0,12.0,4469438,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商421,875円、必要日客数12人が目安。"
新井ビル 204,香川県高松市成合町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf21f5ce5a69c7914b84609/,34.2994211,134.0156685,5.5万円,55000.0,49.59㎡,49.59,,15.0,3666.0,不可,不明,小規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,14,900,155000.0,397436.0,15286.0,17.0,6375414,55,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食不可の可能性,"低固定費・小商圏型。必要月商397,436円、必要日客数17人が目安。"
高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),香川県高松市今里町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,34.3257633,134.0570519,6万円,60000.0,37.50㎡,37.5,,11.34,5289.0,可,準中心街,極小,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,10,900,140000.0,358974.0,13807.0,15.0,4821094,95,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可,"低固定費・小商圏型。必要月商358,974円、必要日客数15人が目安。"
高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,34.3412277,134.051584,6万円,60000.0,30.51㎡,30.51,,9.23,6501.0,不明,中心街,極小,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,1300,140000.0,437500.0,16827.0,13.0,4614638,85,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き,"中心街・高単価型。必要月商437,500円、必要日客数13人が目安。"
高松市 昭和町２丁目 (昭和町駅) の貸店舗・事務所(一部),香川県高松市昭和町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6850eddb0113b875040064de/,34.3430435,134.0313439,6万円,60000.0,31.92㎡,31.92,,9.66,6214.0,不明,準中心街,極小,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,9,900,140000.0,358974.0,13807.0,15.0,4103715,80,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商358,974円、必要日客数15人が目安。"
高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,香川県高松市花ノ宮町３丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69e042035de080bdbee75f45/,34.3246462,134.0457846,6万円,60000.0,19.52㎡,19.52,,5.9,10161.0,不明,不明,極小,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,5,900,140000.0,358974.0,13807.0,15.0,2509540,80,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商358,974円、必要日客数15人が目安。"
高松市 東田町 (瓦町駅) の貸店舗・事務所(一部),香川県高松市東田町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6052fa6fadffbc51ad7e043f/,34.335862,134.0496573,6万円,60000.0,50.00㎡,50.0,,15.13,3967.0,不可,中心街,小規模,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,11,1300,160000.0,500000.0,19231.0,15.0,7562500,60,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食不可の可能性 / 小規模高単価モデル向き,"中心街・高単価型。必要月商500,000円、必要日客数15人が目安。"
ソウゲンビル 5階,香川県高松市鍛冶屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,34.3428604,134.0487343,6.05万円,60500.0,31.60㎡,31.6,,9.56,6329.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,1300,140500.0,439063.0,16887.0,13.0,4779500,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商439,063円、必要日客数13人が目安。"
クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/,34.3412277,134.051584,6.05万円,60500.0,32.32㎡,32.32,,9.78,6188.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,1300,140500.0,439063.0,16887.0,13.0,4888400,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商439,063円、必要日客数13人が目安。"
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ２０３,香川県高松市塩屋町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682559e2990e3375d4f1d836/,34.342155,134.0550633,6.05万円,60500.0,20.68㎡,20.68,,6.26,9671.0,不明,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,140500.0,439063.0,16887.0,13.0,3127850,85,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き,"中心街・高単価型。必要月商439,063円、必要日客数13人が目安。"
松本ビル 1階,香川県高松市室新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69522eecc37dc1729e1f21f0/,34.3267423,134.036633,6.2万円,62000.0,31.29㎡,31.29,,9.47,6550.0,可,不明,極小,不明,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,9,900,142000.0,364103.0,14004.0,16.0,4022720,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定,"低固定費・小商圏型。必要月商364,103円、必要日客数16人が目安。"
クリエイトビル 302,香川県高松市塩上町３丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66f21d9b20276410821020d6/,34.3388772,134.0573648,6.6万円,66000.0,46.06㎡,46.06,,13.93,4737.0,不可,不明,小規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,13,900,166000.0,425641.0,16371.0,18.0,5921589,55,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食不可の可能性,"低固定費・小商圏型。必要月商425,641円、必要日客数18人が目安。"
高松市 花園町２丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-57bea8c1d032a747f63ded79/,34.3336738,134.057008,6.6万円,66000.0,35.29㎡,35.29,,10.68,6183.0,不明,準中心街,極小,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,10,900,146000.0,374359.0,14398.0,16.0,4536970,80,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商374,359円、必要日客数16人が目安。"
ＷＩＮＤ 202,香川県高松市古新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-670378fdb15c5738c792975c/,34.345727,134.0478245,6.6万円,66000.0,24.63㎡,24.63,,7.45,8858.0,不明,不明,極小,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,7,900,146000.0,374359.0,14398.0,16.0,3166494,80,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商374,359円、必要日客数16人が目安。"
高松市 屋島西町 (潟元駅) の貸店舗（一部）,香川県高松市屋島西町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-674bc7812895ed45f90dfeb2/,34.3603444,134.0966033,6.6万円,66000.0,64.53㎡,64.53,,19.52,3381.0,不明,郊外,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,18,900,166000.0,425641.0,16371.0,18.0,8296138,65,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商425,641円、必要日客数18人が目安。"
高松市 香川町川東下 の貸店舗（一部）,香川県高松市香川町川東下,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66c6b7940b0aca787b54d3a7/,34.2455044,134.0300841,7万円,70000.0,64.71㎡,64.71,,19.57,3576.0,不明,郊外,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,18,900,170000.0,435897.0,16765.0,19.0,8319280,65,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商435,897円、必要日客数19人が目安。"
高松市 木太町 (林道駅) の貸店舗（一部）,香川県高松市木太町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-685e07f1970a600a34bedb25/,34.3318938,134.0800231,7万円,70000.0,56.10㎡,56.1,,16.97,4125.0,不可,準中心街,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,15,900,170000.0,435897.0,16765.0,19.0,7212356,55,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食不可の可能性,"低固定費・小商圏型。必要月商435,897円、必要日客数19人が目安。"
高松市 花園町１丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5cc0ee5cd032a771437daaf9/,34.3345829,134.0578551,7万円,70000.0,39.52㎡,39.52,,11.95,5855.0,不明,準中心街,極小,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,11,900,150000.0,384615.0,14793.0,16.0,5080790,80,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商384,615円、必要日客数16人が目安。"
小林店舗 １階　東,香川県高松市古馬場町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5fc8918dcab5463d5a2e7e1a/,34.3425721,134.0518077,7.15万円,71500.0,18.90㎡,18.9,,5.72,12506.0,可,中心街,極小,店舗系,1階・路面想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,151500.0,473438.0,18209.0,14.0,2858625,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 小規模高単価モデル向き,"中心街・高単価型。必要月商473,438円、必要日客数14人が目安。"
ＷＩＮＤ 003,香川県高松市古新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68bfbbd36240320783c534cc/,34.345727,134.0478245,7.1874万円,71874.0,24.00㎡,24.0,,7.26,9900.0,不明,不明,極小,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,7,900,151874.0,389421.0,14978.0,17.0,3085500,80,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商389,421円、必要日客数17人が目安。"
吉田ビル 1階,香川県高松市香川町川東上,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-65c9d71ddfbd573fa5601d7a/,34.2277806,134.0376407,7.7万円,77000.0,34.75㎡,34.75,,10.51,7325.0,不明,郊外,極小,不明,1階・路面想定,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,9,900,157000.0,402564.0,15483.0,17.0,4467547,83,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 1階・路面想定 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商402,564円、必要日客数17人が目安。"
ＡＫビル片原町Ⅱ　２階　北東 （２０１）,香川県高松市片原町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-684fade320d8493430490ebe/,34.3458826,134.0543651,7.7万円,77000.0,40.00㎡,40.0,,12.1,6364.0,可,中心街,小規模,不明,上階・地下想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,9,1300,177000.0,553125.0,21274.0,16.0,6050000,92,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商553,125円、必要日客数16人が目安。"
クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/,34.3412277,134.051584,7.7万円,77000.0,41.50㎡,41.5,,12.55,6134.0,可,中心街,小規模,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,9,1300,177000.0,553125.0,21274.0,16.0,6276875,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商553,125円、必要日客数16人が目安。"
クイ－ンズスケア第一 1階C,香川県高松市瓦町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68f074cf4c8c312b4b224e88/,34.3399504,134.0514047,7.7万円,77000.0,22.16㎡,22.16,,6.7,11487.0,可,中心街,極小,不明,1階・路面想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1300,157000.0,490625.0,18870.0,15.0,3351700,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 小規模高単価モデル向き,"中心街・高単価型。必要月商490,625円、必要日客数15人が目安。"
新井ビル 200,香川県高松市成合町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf219fbe5a69c28beb84613/,34.2994211,134.0156685,7.7万円,77000.0,66.54㎡,66.54,,20.13,3825.0,不可,不明,中規模,不明,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,18,900,237000.0,607692.0,23373.0,26.0,8554549,45,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可の可能性,"低固定費・小商圏型。必要月商607,692円、必要日客数26人が目安。"
牟礼町牟礼　倉庫 2F,香川県高松市牟礼町牟礼,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-665a9a1cda59646e4add9922/,34.3493325,134.133009,7.7万円,77000.0,107.05㎡,107.05,,32.38,2378.0,不明,郊外,中規模,倉庫・工場系,上階・地下想定,不明,郊外・駐車場依存型,,郊外倉庫リノベ型カフェ,36,1100,237000.0,764516.0,29404.0,27.0,18620010,47,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資は重め / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商764,516円、必要日客数27人が目安。"
香川町浅野貸店舗 1階店舗,香川県高松市香川町浅野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-590a7804e5a69c3b10d8431f/,34.2587691,134.0425443,8万円,80000.0,70.00㎡,70.0,,21.18,3778.0,不可,郊外,中規模,店舗系,1階・路面想定,不明,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,23,1100,240000.0,774194.0,29777.0,27.0,11116876,48,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可の可能性 / 1階・路面想定 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商774,194円、必要日客数27人が目安。"
漆原テナント・事務所 1階,香川県高松市香川町大野,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-640d66da94d1b8330da06dcb/,34.2664945,134.0255298,8万円,80000.0,85.20㎡,85.2,,25.77,3104.0,不可,郊外,中規模,店舗系,1階・路面想定,不明,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,28,1100,240000.0,774194.0,29777.0,27.0,13530826,48,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可の可能性 / 1階・路面想定 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商774,194円、必要日客数27人が目安。"
高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-624cf5c1655be9215e0d7ed0/,34.2718437,134.0304778,8.5万円,85000.0,71.01㎡,71.01,,21.48,3957.0,不可,郊外,中規模,店舗系,不明,不明,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,24,1100,245000.0,790323.0,30397.0,28.0,11277276,40,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食不可の可能性 / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商790,323円、必要日客数28人が目安。"
サントピア８８ 2階部分,香川県高松市太田上町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66f5eab3bb872232557dfacb/,34.2970932,134.042515,8.8万円,88000.0,100.02㎡,100.02,,30.26,2909.0,不明,準中心街,中規模,不明,上階・地下想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,23,1300,248000.0,775000.0,29808.0,23.0,15128026,52,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資は重め / 飲食可否確認必要 / 上階・地下で集客難度あり,"中心街・高単価型。必要月商775,000円、必要日客数23人が目安。"
高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,香川県高松市香川町寺井,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5af17282e5a69c474d30150d/,34.2718437,134.0304778,8.8万円,88000.0,63.44㎡,63.44,,19.19,4586.0,可,郊外,小規模,店舗系,不明,不明,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,17,900,188000.0,482051.0,18540.0,21.0,8156005,80,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商482,051円、必要日客数21人が目安。"
