物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント,space_openness_score,seongsu_design_score,night_business_score,parking_destination_score,investment_reality_score,fruit_cafe_business_score,seongsu_fit_score,seongsu_fit_stars,seongsu_rank,seongsu_fit_type,seongsu_fit_comment
高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),香川県高松市今里町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,34.3257633,134.0570519,6万円,60000.0,37.50㎡,37.5,,11.34,5289.0,可,準中心街,極小,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,10,1000,140000.0,400000.0,15385.0,15.0,15.0,23.0,5671875,87,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可,"準中心街・生活圏型。必要月商400,000円、必要日客数15人が目安。",26,45,65,55,100,87.0,51.8,★★☆☆☆,71,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約11.3坪で、面積または席密度の面で余白確保に課題がある。
貸店舗・事務所(一部) 高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),香川県高松市今里町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,34.3257633,134.0570519,6 万円,60000.0,37.50㎡,37.5,11.34坪,11.34,5291.0,可,準中心街,極小,店舗系,不明,不明,準中心街・生活圏型,,要個別検討,10,1000,140000.0,400000.0,15385.0,15.0,15.0,23.0,5670000,87,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可,"準中心街・生活圏型。必要月商400,000円、必要日客数15人が目安。",26,45,65,55,100,87.0,51.8,★★☆☆☆,72,実装難度高,ブランド実装には制約があり、設計上の工夫が必要。 星評価は★★☆☆☆。坪数は約11.3坪で、面積または席密度の面で余白確保に課題がある。
クイ－ンズスケア第一 1階C,香川県高松市瓦町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68f074cf4c8c312b4b224e88/,34.3399504,134.0514047,7.7万円,77000.0,22.16㎡,22.16,,6.7,11487.0,可,中心街,極小,不明,1階・路面想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5,1400,157000.0,506452.0,19479.0,14.0,14.0,25.0,3955006,95,A,推奨必要日客数30人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商506,452円、必要日客数14人が目安。",7,27,100,55,100,95.0,48.5,★★☆☆☆,73,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約6.7坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） クイ－ンズスケア第一 1階C,香川県高松市瓦町２丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-68f074cf4c8c312b4b224e88/,34.3400205,134.0501426,7.7 万円,77000.0,22.16㎡,22.16,6.70坪,6.7,11493.0,可,中心街,極小,店舗系,1階・路面想定,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,5,1400,157000.0,506452.0,19479.0,14.0,14.0,25.0,3953000,95,A,推奨必要日客数30人以下 / 必要月商80万円以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 小規模高単価モデル向き / 席数に対する必要回転数は高め,"中心街・高単価型。必要月商506,452円、必要日客数14人が目安。",7,27,100,55,100,95.0,48.5,★★☆☆☆,74,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約6.7坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,34.3178937,133.8417036,5.5 万円,55000.0,29.55㎡,29.55,8.93坪,8.93,6159.0,可,中心街,極小,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,1400,135000.0,435484.0,16749.0,12.0,12.0,22.0,5268700,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商435,484円、必要日客数12人が目安。",17,15,100,55,100,92.0,47.8,★★☆☆☆,75,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約8.9坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,34.3178937,133.8417036,5.5 万円,55000.0,31.57㎡,31.57,9.54坪,9.54,5765.0,可,中心街,極小,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,8,1400,135000.0,435484.0,16749.0,12.0,12.0,22.0,5628600,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商435,484円、必要日客数12人が目安。",17,15,100,55,100,92.0,47.8,★★☆☆☆,76,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約9.5坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f6b317/,34.3178937,133.8417036,6.05 万円,60500.0,32.32㎡,32.32,9.77坪,9.77,6192.0,可,中心街,極小,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,8,1400,140500.0,453226.0,17432.0,12.0,12.0,22.0,5764300,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商453,226円、必要日客数12人が目安。",17,15,100,55,100,92.0,47.8,★★☆☆☆,77,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約9.8坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） ソウゲンビル 5階,香川県高松市鍛冶屋町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,34.3428604,134.0487343,6.05 万円,60500.0,31.60㎡,31.6,9.55坪,9.55,6335.0,可,中心街,極小,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,8,1400,140500.0,453226.0,17432.0,12.0,12.0,22.0,5634500,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商453,226円、必要日客数12人が目安。",17,15,100,55,100,92.0,47.8,★★☆☆☆,78,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約9.6坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） クイーンズスクエア第２ビル 5-C,香川県高松市瓦町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f7b317/,34.3178937,133.8417036,5 万円,50000.0,26.69㎡,26.69,8.07坪,8.07,6196.0,可,中心街,極小,店舗系,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,1400,130000.0,419355.0,16129.0,12.0,12.0,21.0,4761300,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商419,355円、必要日客数12人が目安。",17,15,100,55,100,92.0,47.8,★★☆☆☆,79,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約8.1坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,34.3412277,134.051584,5.5万円,55000.0,31.57㎡,31.57,,9.55,5759.0,可,中心街,極小,不明,不明,不明,中心街・高単価型,,中心街高単価・目的来店型カフェ,8,1400,135000.0,435484.0,16749.0,12.0,12.0,22.0,5634456,92,A,推奨必要日客数30人以下 / 必要月商50万円以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商435,484円、必要日客数12人が目安。",17,15,100,55,100,92.0,47.8,★★☆☆☆,80,実装難度高,韓国ソンス風の実装難度が高い候補。 星評価は★★☆☆☆。坪数は約9.6坪で、面積または席密度の面で余白確保に課題がある、夜カフェ・夜パフェ需要との相性が高い。
