物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント
オーレックス西宝　１Ｆ【西宝町】テナント,香川県高松市西宝町1--16-26,,38.83m 2 (11.75坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002336,未取得,,,,38.83,,,38.83,11.75,準中心街,極小,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,12,0.3,0.25,0.1,1000,,,,,,,3525000,8225000,5875000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
岡ビル１Ｆ【瓦町１丁目】テナント,香川県高松市瓦町1--１３-１０,,28.12m 2 (8.51坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002345,未取得,,,,28.12,,,28.12,8.51,中心街,極小,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,9,0.3,0.25,0.1,1000,,,,,,,2553000,5957000,4255000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
丸協ビル２Ｆ【今里町】レインボーエリアテナント,香川県高松市今里町2-29-21,,175.31m 2 (53.03坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002101,取得済み,34.3252684,134.0629058,,175.31,,,175.31,53.03,準中心街,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,53,0.3,0.25,0.1,1000,,,,,,,15909000,37121000,26515000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＳＹＫ店舗【伏石町】テナント,香川県高松市伏石町-2166-10,,397.86m 2 (120.35坪）,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002614,取得済み,34.312094,134.0553112,,397.86,,,397.86,120.35,準中心街,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,120,0.3,0.25,0.1,1000,,,,,,,36105000,84245000,60175000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
高橋ビル２Ｆ【松福町】テナント,香川県高松市松福町2-11-18,,37.13m 2 (11.23坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002006,未取得,,,,37.13,,,37.13,11.23,準中心街,極小,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,11,0.3,0.25,0.1,1000,,,,,,,3369000,7861000,5615000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
扇町メゾネット【扇町】タウンハウステナント,香川県高松市扇町1丁目-1-7,,68.25m 2 (20.65坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002046,取得済み,34.3467131,134.036024,,68.25,,,68.25,20.65,準中心街,中規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,21,0.3,0.25,0.1,1000,,,,,,,6195000,14455000,10325000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
橋本ビル１Ｆ【木太町】レインボーエリアテナント,香川県高松市木太町-１１３０-１,,49.63m 2 (15.01坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00001904,取得済み,34.3278475,134.0747791,,49.63,,,49.63,15.01,準中心街,小規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,15,0.3,0.25,0.1,1000,,,,,,,4503000,10507000,7505000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ラフォーレナミキ南店１Ｆ北【香西南町】テナント,香川県高松市香西南町-４７２,,210.80m 2 (63.77坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00001918,取得済み,34.3394484,134.0002361,,210.8,,,210.8,63.77,郊外,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,64,0.3,0.25,0.1,1000,,,,,,,19131000,44639000,31885000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ＹＨ店舗1棟貸【国分寺町新居】,香川県高松市国分寺町新居-1340-1,,374.04m 2 (113.15坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002619,取得済み,34.3150123,133.9666553,,374.04,,,374.04,113.15,郊外,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,113,0.3,0.25,0.1,1000,,,,,,,33945000,79205000,56575000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
川田ビル【香西東町】,香川県高松市香西東町-329-11,,80m 2 (24.20坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002622,取得済み,34.3403451,134.007635,,80.0,,,80.0,24.2,郊外,中規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,24,0.3,0.25,0.1,1000,,,,,,,7260000,16940000,12100000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
