物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント
オフィスビルいずみ東棟2F【上天神町】,香川県高松市上天神町780--6,,207.89m 2 (62.89坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002287,未取得,,,,207.89,,,207.89,62.89,準中心街,大型,店舗系,上階・地下想定,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,63,0.3,0.25,0.1,1000,,,,,,,18867000,44023000,31445000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
オフィスビルいずみ東棟3F【上天神町】,香川県高松市上天神町780--6,,209.99m 2 (63.52坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002288,未取得,,,,209.99,,,209.99,63.52,準中心街,大型,店舗系,上階・地下想定,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,64,0.3,0.25,0.1,1000,,,,,,,19056000,44464000,31760000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
Sunriseせきもと１F【中央町】,香川県高松市中央町15-15,,46.53m 2 (14.08坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002151,未取得,,,,46.53,,,46.53,14.08,準中心街,小規模,店舗系,1階・路面想定,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,14,0.3,0.25,0.1,1000,,,,,,,4224000,9856000,7040000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
オフィスビルいずみ東１棟貸【上天神町】,香川県高松市上天神町780--6,,584m 2 (176.66坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002223,未取得,,,,584.0,,,584.0,176.66,準中心街,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,177,0.3,0.25,0.1,1000,,,,,,,52998000,123662000,88330000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
Crest Court K2　1-Ａ【伏石町】,香川県高松市伏石町-2152-4,,134.54m 2 (40.70坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002253,取得済み,34.312094,134.0553112,,134.54,,,134.54,40.7,準中心街,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,41,0.3,0.25,0.1,1000,,,,,,,12210000,28490000,20350000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
プリンス三条テナント【三条町】,香川県高松市三条町-474-1,,71.33m 2 (21.58坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00001566,取得済み,34.3144166,134.047238,,71.33,,,71.33,21.58,準中心街,中規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,22,0.3,0.25,0.1,1000,,,,,,,6474000,15106000,10790000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
近藤第２ビル 3F,香川県高松市常磐町２丁目,2万円,27.25㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/,取得済み,34.3375186,134.0511328,2.0,27.25,,20000.0,27.25,8.24,中心街,極小,不明,上階・地下想定,不明,2426.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,100000.0,312500.0,12019.0,240.0,9.0,2472938,5770188,4121563,92,92,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 上階・地下で集客難度あり / 小規模高単価モデル向き,"中心街・高単価型。必要月商312,500円、必要日客数9人が目安。"
ソウゲンビル 5階南,香川県高松市鍛冶屋町,2.53万円,16.00㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,取得済み,34.3428604,134.0487343,2.53,16.0,,25300.0,16.0,4.84,中心街,極小,不明,不明,不明,5227.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,105300.0,329063.0,12656.0,253.0,10.0,1452000,3388000,2420000,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商329,063円、必要日客数10人が目安。"
クイーンズスクエア第２ビル 5－D,香川県高松市瓦町１丁目,3.3万円,18.96㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/,取得済み,34.3412277,134.051584,3.3,18.96,,33000.0,18.96,5.74,中心街,極小,不明,不明,不明,5754.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,113000.0,353125.0,13582.0,272.0,10.0,1720620,4014780,2867700,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商353,125円、必要日客数10人が目安。"
ＡＫビル鍛冶屋町Ⅱ １Ｆ,香川県高松市鍛冶屋町,3.85万円,13.68㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6926a443aa781f981629c2d9/,取得済み,34.3428604,134.0487343,3.85,13.68,,38500.0,13.68,4.14,中心街,極小,不明,不明,不明,9304.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,118500.0,370313.0,14243.0,285.0,11.0,1241460,2896740,2069100,40,40,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食不可のため原則対象外 / 小規模高単価モデル向き,"中心街・高単価型。必要月商370,313円、必要日客数11人が目安。"
クイ－ンズスケア第一 ５階Ｇ,香川県高松市瓦町２丁目,3.96万円,21.07㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ae18c079732ec4a1d17c2d6/,取得済み,34.3399504,134.0514047,3.96,21.07,,39600.0,21.07,6.37,中心街,極小,不明,不明,不明,6213.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,119600.0,373750.0,14375.0,288.0,11.0,1912103,4461573,3186838,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商373,750円、必要日客数11人が目安。"
スモールショップ　中央南側 ２階一部,香川県高松市香川町大野,4万円,19.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68363e5e5de080734497111d/,取得済み,34.2664945,134.0255298,4.0,19.0,,40000.0,19.0,5.75,郊外,極小,不明,上階・地下想定,不明,6960.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,5,0.28,0.23,0.1,900,80000.0,120000.0,307692.0,11834.0,342.0,13.0,1436875,3448500,2442688,57,57,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商307,692円、必要日客数13人が目安。"
クイーンズスクエア第２ビル 3-C,香川県高松市瓦町１丁目,4.4万円,22.47㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f3b317/,取得済み,34.3412277,134.051584,4.4,22.47,,44000.0,22.47,6.8,中心街,極小,不明,不明,不明,6473.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,124000.0,387500.0,14904.0,298.0,11.0,2039153,4758023,3398588,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商387,500円、必要日客数11人が目安。"
牟礼町牟礼　戸建　２Ｆ和室一部 2F,香川県高松市牟礼町牟礼,4.4万円,107.05㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6663fef91bce1051d51b1864/,取得済み,34.3493325,134.133009,4.4,107.05,,44000.0,107.05,32.38,郊外,中規模,不明,上階・地下想定,不明,1359.0,郊外・駐車場依存型,,郊外滞在・ランチ需要型カフェ,36,0.32,0.27,0.1,1100,160000.0,204000.0,658065.0,25310.0,598.0,23.0,9714788,24286970,17000879,37,37,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資は重め / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要,"郊外・駐車場依存型。必要月商658,065円、必要日客数23人が目安。"
宮脇町ビル 東,香川県高松市宮脇町１丁目,4.5万円,44.19㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67c006c873b679516875e115/,取得済み,34.3382366,134.0359162,4.5,44.19,,45000.0,44.19,13.37,準中心街,小規模,不明,不明,不明,3366.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,12,0.28,0.23,0.1,900,100000.0,145000.0,371795.0,14300.0,413.0,16.0,3341869,8020485,5681177,95,95,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可,"低固定費・小商圏型。必要月商371,795円、必要日客数16人が目安。"
飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,香川県高松市香川町大野,5万円,20.73㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6628b3b9d9cbec77c6d93594/,取得済み,34.2664945,134.0255298,5.0,20.73,,50000.0,20.73,6.27,郊外,極小,不明,1階・路面想定,不明,7973.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,6,0.28,0.23,0.1,900,80000.0,130000.0,333333.0,12821.0,370.0,14.0,1567706,3762495,2665100,98,98,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商333,333円、必要日客数14人が目安。"
スモールショップ　２Ｆ北側入口西側 ２階一部,香川県高松市香川町大野,5万円,30.50㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68362b1196571f4ba1d7d943/,取得済み,34.2664945,134.0255298,5.0,30.5,,50000.0,30.5,9.23,郊外,極小,不明,上階・地下想定,不明,5419.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,8,0.28,0.23,0.1,900,80000.0,130000.0,333333.0,12821.0,370.0,14.0,2306563,5535750,3921156,57,57,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 上階・地下で集客難度あり / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商333,333円、必要日客数14人が目安。"
クイーンズスクエア第２ビル 5-C,香川県高松市瓦町１丁目,5万円,26.69㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f7b317/,取得済み,34.3412277,134.051584,5.0,26.69,,50000.0,26.69,8.07,中心街,極小,不明,不明,不明,6193.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,130000.0,406250.0,15625.0,313.0,12.0,2422118,5651608,4036863,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商406,250円、必要日客数12人が目安。"
クイーンズスクエア第２ビル 3-B,香川県高松市瓦町１丁目,5.28万円,24.70㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555b55d54249423b71542600/,取得済み,34.3412277,134.051584,5.28,24.7,,52800.0,24.7,7.47,中心街,極小,不明,不明,不明,7067.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,132800.0,415000.0,15962.0,319.0,12.0,2241525,5230225,3735875,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商415,000円、必要日客数12人が目安。"
高松市 春日町 の貸店舗（一部）,香川県高松市春日町,5.5万円,38.30㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-64e2d04b3f7cf6132af9cfa9/,取得済み,34.3304601,134.0917088,5.5,38.3,,55000.0,38.3,11.59,郊外,極小,店舗系,不明,不明,4747.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,10,0.28,0.23,0.1,900,80000.0,135000.0,346154.0,13314.0,385.0,15.0,2896438,6951450,4923944,65,65,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商346,154円、必要日客数15人が目安。"
クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,5.5万円,31.57㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,取得済み,34.3412277,134.051584,5.5,31.57,,55000.0,31.57,9.55,中心街,極小,不明,不明,不明,5759.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,0.32,0.26,0.1,1300,80000.0,135000.0,421875.0,16226.0,325.0,12.0,2864978,6684948,4774963,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商421,875円、必要日客数12人が目安。"
クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,5.5万円,29.55㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,取得済み,34.3412277,134.051584,5.5,29.55,,55000.0,29.55,8.94,中心街,極小,不明,不明,不明,6153.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,0.32,0.26,0.1,1300,80000.0,135000.0,421875.0,16226.0,325.0,12.0,2681663,6257213,4469438,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商421,875円、必要日客数12人が目安。"
新井ビル 204,香川県高松市成合町,5.5万円,49.59㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf21f5ce5a69c7914b84609/,取得済み,34.2994211,134.0156685,5.5,49.59,,55000.0,49.59,15.0,不明,小規模,不明,不明,不明,3666.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,14,0.28,0.23,0.1,900,100000.0,155000.0,397436.0,15286.0,442.0,17.0,3750244,9000585,6375414,35,35,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食不可のため原則対象外,"低固定費・小商圏型。必要月商397,436円、必要日客数17人が目安。"
高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),香川県高松市今里町１丁目,6万円,37.50㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,取得済み,34.3257633,134.0570519,6.0,37.5,,60000.0,37.5,11.34,準中心街,極小,店舗系,不明,不明,5289.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,10,0.28,0.23,0.1,900,80000.0,140000.0,358974.0,13807.0,399.0,15.0,2835938,6806250,4821094,95,95,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可,"低固定費・小商圏型。必要月商358,974円、必要日客数15人が目安。"
高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市瓦町１丁目,6万円,30.51㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,取得済み,34.3412277,134.051584,6.0,30.51,,60000.0,30.51,9.23,中心街,極小,店舗系,不明,不明,6501.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,0.32,0.26,0.1,1300,80000.0,140000.0,437500.0,16827.0,337.0,13.0,2768783,6460493,4614638,75,75,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き,"中心街・高単価型。必要月商437,500円、必要日客数13人が目安。"
高松市 昭和町２丁目 (昭和町駅) の貸店舗・事務所(一部),香川県高松市昭和町２丁目,6万円,31.92㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6850eddb0113b875040064de/,取得済み,34.3430435,134.0313439,6.0,31.92,,60000.0,31.92,9.66,準中心街,極小,店舗系,不明,不明,6214.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,9,0.28,0.23,0.1,900,80000.0,140000.0,358974.0,13807.0,399.0,15.0,2413950,5793480,4103715,70,70,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商358,974円、必要日客数15人が目安。"
高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,香川県高松市花ノ宮町３丁目,6万円,19.52㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69e042035de080bdbee75f45/,取得済み,34.3246462,134.0457846,6.0,19.52,,60000.0,19.52,5.9,不明,極小,店舗系,不明,不明,10161.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,5,0.28,0.23,0.1,900,80000.0,140000.0,358974.0,13807.0,399.0,15.0,1476200,3542880,2509540,70,70,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商358,974円、必要日客数15人が目安。"
高松市 東田町 (瓦町駅) の貸店舗・事務所(一部),香川県高松市東田町,6万円,50.00㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6052fa6fadffbc51ad7e043f/,取得済み,34.335862,134.0496573,6.0,50.0,,60000.0,50.0,15.13,中心街,小規模,店舗系,不明,不明,3967.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,11,0.32,0.26,0.1,1300,100000.0,160000.0,500000.0,19231.0,385.0,15.0,4537500,10587500,7562500,40,40,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食不可のため原則対象外 / 小規模高単価モデル向き,"中心街・高単価型。必要月商500,000円、必要日客数15人が目安。"
ソウゲンビル 5階,香川県高松市鍛冶屋町,6.05万円,31.60㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,取得済み,34.3428604,134.0487343,6.05,31.6,,60500.0,31.6,9.56,中心街,極小,不明,不明,不明,6329.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,0.32,0.26,0.1,1300,80000.0,140500.0,439063.0,16887.0,338.0,13.0,2867700,6691300,4779500,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商439,063円、必要日客数13人が目安。"
クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,6.05万円,32.32㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/,取得済み,34.3412277,134.051584,6.05,32.32,,60500.0,32.32,9.78,中心街,極小,不明,不明,不明,6188.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,7,0.32,0.26,0.1,1300,80000.0,140500.0,439063.0,16887.0,338.0,13.0,2933040,6843760,4888400,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 小規模高単価モデル向き,"中心街・高単価型。必要月商439,063円、必要日客数13人が目安。"
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ２０３,香川県高松市塩屋町,6.05万円,20.68㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682559e2990e3375d4f1d836/,取得済み,34.342155,134.0550633,6.05,20.68,,60500.0,20.68,6.26,中心街,極小,不明,不明,不明,9671.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,140500.0,439063.0,16887.0,338.0,13.0,1876710,4378990,3127850,75,75,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要 / 小規模高単価モデル向き,"中心街・高単価型。必要月商439,063円、必要日客数13人が目安。"
松本ビル 1階,香川県高松市室新町,6.2万円,31.29㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69522eecc37dc1729e1f21f0/,取得済み,34.3267423,134.036633,6.2,31.29,,62000.0,31.29,9.47,不明,極小,不明,1階・路面想定,不明,6550.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,9,0.28,0.23,0.1,900,80000.0,142000.0,364103.0,14004.0,405.0,16.0,2366306,5679135,4022720,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定,"低固定費・小商圏型。必要月商364,103円、必要日客数16人が目安。"
クリエイトビル 302,香川県高松市塩上町３丁目,6.6万円,46.06㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66f21d9b20276410821020d6/,取得済み,34.3388772,134.0573648,6.6,46.06,,66000.0,46.06,13.93,不明,小規模,不明,不明,不明,4737.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,13,0.28,0.23,0.1,900,100000.0,166000.0,425641.0,16371.0,473.0,18.0,3483288,8359890,5921589,35,35,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食不可のため原則対象外,"低固定費・小商圏型。必要月商425,641円、必要日客数18人が目安。"
高松市 花園町２丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町２丁目,6.6万円,35.29㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-57bea8c1d032a747f63ded79/,取得済み,34.3336738,134.057008,6.6,35.29,,66000.0,35.29,10.68,準中心街,極小,店舗系,不明,不明,6183.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,10,0.28,0.23,0.1,900,80000.0,146000.0,374359.0,14398.0,416.0,16.0,2668806,6405135,4536970,70,70,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商374,359円、必要日客数16人が目安。"
ＷＩＮＤ 202,香川県高松市古新町,6.6万円,24.63㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-670378fdb15c5738c792975c/,取得済み,34.345727,134.0478245,6.6,24.63,,66000.0,24.63,7.45,不明,極小,不明,不明,不明,8858.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,7,0.28,0.23,0.1,900,80000.0,146000.0,374359.0,14398.0,416.0,16.0,1862644,4470345,3166494,70,70,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商374,359円、必要日客数16人が目安。"
高松市 屋島西町 (潟元駅) の貸店舗（一部）,香川県高松市屋島西町,6.6万円,64.53㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-674bc7812895ed45f90dfeb2/,取得済み,34.3603444,134.0966033,6.6,64.53,,66000.0,64.53,19.52,郊外,小規模,店舗系,不明,不明,3381.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,18,0.28,0.23,0.1,900,100000.0,166000.0,425641.0,16371.0,473.0,18.0,4880081,11712195,8296138,55,55,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商425,641円、必要日客数18人が目安。"
高松市 香川町川東下 の貸店舗（一部）,香川県高松市香川町川東下,7万円,64.71㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66c6b7940b0aca787b54d3a7/,取得済み,34.2455044,134.0300841,7.0,64.71,,70000.0,64.71,19.57,郊外,小規模,店舗系,不明,不明,3576.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,18,0.28,0.23,0.1,900,100000.0,170000.0,435897.0,16765.0,484.0,19.0,4893694,11744865,8319280,55,55,C,必要月商80万円以下 / 必要日客数35人以下 / 初期投資1500万円以下 / 飲食可否確認必要 / 郊外で駐車場確認必要,"低固定費・小商圏型。必要月商435,897円、必要日客数19人が目安。"
高松市 木太町 (林道駅) の貸店舗（一部）,香川県高松市木太町,7万円,56.10㎡,,不可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-685e07f1970a600a34bedb25/,取得済み,34.3318938,134.0800231,7.0,56.1,,70000.0,56.1,16.97,準中心街,小規模,店舗系,不明,不明,4125.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,15,0.28,0.23,0.1,900,100000.0,170000.0,435897.0,16765.0,484.0,19.0,4242563,10182150,7212356,35,35,D,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食不可のため原則対象外,"低固定費・小商圏型。必要月商435,897円、必要日客数19人が目安。"
高松市 花園町１丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町１丁目,7万円,39.52㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5cc0ee5cd032a771437daaf9/,取得済み,34.3345829,134.0578551,7.0,39.52,,70000.0,39.52,11.95,準中心街,極小,店舗系,不明,不明,5855.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,11,0.28,0.23,0.1,900,80000.0,150000.0,384615.0,14793.0,427.0,16.0,2988700,7172880,5080790,70,70,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商384,615円、必要日客数16人が目安。"
小林店舗 １階　東,香川県高松市古馬場町,7.15万円,18.90㎡,,可,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5fc8918dcab5463d5a2e7e1a/,取得済み,34.3425721,134.0518077,7.15,18.9,,71500.0,18.9,5.72,中心街,極小,店舗系,1階・路面想定,不明,12506.0,中心街・高単価型,,中心街高単価・目的来店型カフェ,6,0.32,0.26,0.1,1300,80000.0,151500.0,473438.0,18209.0,364.0,14.0,1715175,4002075,2858625,100,100,A,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可 / 1階・路面想定 / 小規模高単価モデル向き,"中心街・高単価型。必要月商473,438円、必要日客数14人が目安。"
ＷＩＮＤ 003,香川県高松市古新町,7.1874万円,24.00㎡,,確認必要,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68bfbbd36240320783c534cc/,取得済み,34.345727,134.0478245,7.1874,24.0,,71874.0,24.0,7.26,不明,極小,不明,不明,不明,9900.0,低固定費・小商圏型,,小規模カフェ・テイクアウト併設,7,0.28,0.23,0.1,900,80000.0,151874.0,389421.0,14978.0,433.0,17.0,1815000,4356000,3085500,70,70,B,必要月商80万円以下 / 必要日客数35人以下 / 初期投資800万円以下 / 飲食可否確認必要,"低固定費・小商圏型。必要月商389,421円、必要日客数17人が目安。"
