判定,代表index,重複index,代表物件名,重複物件名,代表所在地,重複所在地,代表家賃,重複家賃,代表坪数,重複坪数,代表サイト,重複サイト,代表URL,重複URL
要確認候補,61,204,クイーンズスクエア第２ビル 3-B,貸店舗（一部） 京都興産ビル 3F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.28万円,22 万円,,35.34,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555b55d54249423b71542600/,https://www.mcrea.jp/kasi-tenpo/detail-5b432f98d032a70dc813f561/
要確認候補,61,214,クイーンズスクエア第２ビル 3-B,貸店舗（一部） ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.28万円,220 万円,,314.21,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555b55d54249423b71542600/,https://www.mcrea.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/
要確認候補,63,64,クイーンズスクエア第２ 7-B,クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,5.5万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/
要確認候補,63,67,クイーンズスクエア第２ 7-B,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,6万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/
要確認候補,63,72,クイーンズスクエア第２ 7-B,クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,6.05万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/
要確認候補,63,86,クイーンズスクエア第２ 7-B,クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,7.7万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/
要確認候補,63,121,クイーンズスクエア第２ 7-B,京都興産ビル ５F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,16.5万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/
要確認候補,63,128,クイーンズスクエア第２ 7-B,向山ビル２Ｆ 2F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,19.8万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-56d5429b9732ec2933001454/
要確認候補,63,135,クイーンズスクエア第２ 7-B,京都興産ビル 3F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,22万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b432f98d032a70dc813f561/
要確認候補,63,161,クイーンズスクエア第２ 7-B,ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,220万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/
要確認候補,63,175,クイーンズスクエア第２ 7-B,貸店舗（一部） クイーンズスクエア第２ビル 5－D,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,3.3 万円,,5.73,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/
要確認候補,63,177,クイーンズスクエア第２ 7-B,貸店舗（一部） クイーンズスクエア第２ビル 3-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,4.4 万円,,6.79,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f3b317/
要確認候補,63,180,クイーンズスクエア第２ 7-B,貸店舗（一部） クイーンズスクエア第２ビル 5-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,5 万円,,8.07,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f7b317/
要確認候補,63,181,クイーンズスクエア第２ 7-B,貸店舗（一部） クイーンズスクエア第２ビル 3-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,5.28 万円,,7.47,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-555b55d54249423b71542600/
要確認候補,63,182,クイーンズスクエア第２ 7-B,貸店舗（一部） クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,5.5 万円,,9.54,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f8b317/
要確認候補,63,183,クイーンズスクエア第２ 7-B,貸店舗（一部） クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,5.5 万円,,8.93,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/
要確認候補,63,186,クイーンズスクエア第２ 7-B,貸店舗（一部） クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,6.05 万円,,9.77,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f6b317/
要確認候補,63,190,クイーンズスクエア第２ 7-B,貸店舗（一部） クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,7.7 万円,,12.55,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/
要確認候補,63,199,クイーンズスクエア第２ 7-B,貸店舗（一部） 京都興産ビル ５F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,16.5 万円,,35.34,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/
要確認候補,63,204,クイーンズスクエア第２ 7-B,貸店舗（一部） 京都興産ビル 3F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,22 万円,,35.34,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-5b432f98d032a70dc813f561/
要確認候補,63,214,クイーンズスクエア第２ 7-B,貸店舗（一部） ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,220 万円,,314.21,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/
要確認候補,64,67,クイーンズスクエアービル第２ 6-C,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,6万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/
要確認候補,64,72,クイーンズスクエアービル第２ 6-C,クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,6.05万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/
要確認候補,64,86,クイーンズスクエアービル第２ 6-C,クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,7.7万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/
要確認候補,64,121,クイーンズスクエアービル第２ 6-C,京都興産ビル ５F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,16.5万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/
要確認候補,64,128,クイーンズスクエアービル第２ 6-C,向山ビル２Ｆ 2F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,19.8万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-56d5429b9732ec2933001454/
要確認候補,64,135,クイーンズスクエアービル第２ 6-C,京都興産ビル 3F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,22万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b432f98d032a70dc813f561/
要確認候補,64,161,クイーンズスクエアービル第２ 6-C,ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,220万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/
要確認候補,64,175,クイーンズスクエアービル第２ 6-C,貸店舗（一部） クイーンズスクエア第２ビル 5－D,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,3.3 万円,,5.73,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/
要確認候補,64,177,クイーンズスクエアービル第２ 6-C,貸店舗（一部） クイーンズスクエア第２ビル 3-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,4.4 万円,,6.79,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f3b317/
要確認候補,64,180,クイーンズスクエアービル第２ 6-C,貸店舗（一部） クイーンズスクエア第２ビル 5-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,5 万円,,8.07,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f7b317/
要確認候補,64,181,クイーンズスクエアービル第２ 6-C,貸店舗（一部） クイーンズスクエア第２ビル 3-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,5.28 万円,,7.47,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-555b55d54249423b71542600/
要確認候補,64,182,クイーンズスクエアービル第２ 6-C,貸店舗（一部） クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,5.5 万円,,9.54,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f8b317/
要確認候補,64,183,クイーンズスクエアービル第２ 6-C,貸店舗（一部） クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,5.5 万円,,8.93,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/
要確認候補,64,186,クイーンズスクエアービル第２ 6-C,貸店舗（一部） クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,6.05 万円,,9.77,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f6b317/
要確認候補,64,190,クイーンズスクエアービル第２ 6-C,貸店舗（一部） クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,7.7 万円,,12.55,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/
要確認候補,64,199,クイーンズスクエアービル第２ 6-C,貸店舗（一部） 京都興産ビル ５F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,16.5 万円,,35.34,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/
要確認候補,64,204,クイーンズスクエアービル第２ 6-C,貸店舗（一部） 京都興産ビル 3F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,22 万円,,35.34,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-5b432f98d032a70dc813f561/
要確認候補,64,214,クイーンズスクエアービル第２ 6-C,貸店舗（一部） ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,5.5万円,220 万円,,314.21,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/
要確認候補,65,88,新井ビル 204,新井ビル 200,香川県高松市成合町,香川県高松市成合町,5.5万円,7.7万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf21f5ce5a69c7914b84609/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf219fbe5a69c28beb84613/
要確認候補,65,116,新井ビル 204,新井ビル 1階,香川県高松市成合町,香川県高松市成合町,5.5万円,15.07万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf21f5ce5a69c7914b84609/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-55588e3142494231b8305814/
要確認候補,66,184,高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),貸店舗・事務所(一部) 高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),香川県高松市今里町１丁目,香川県高松市今里町１丁目,6万円,6 万円,,11.34,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,https://www.mcrea.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/
要確認候補,67,72,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,6.05万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/
要確認候補,67,86,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,7.7万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/
要確認候補,67,121,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,京都興産ビル ５F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,16.5万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/
要確認候補,67,128,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,向山ビル２Ｆ 2F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,19.8万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-56d5429b9732ec2933001454/
要確認候補,67,135,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,京都興産ビル 3F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,22万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b432f98d032a70dc813f561/
要確認候補,67,161,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,220万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/
要確認候補,67,175,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） クイーンズスクエア第２ビル 5－D,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,3.3 万円,,5.73,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/
要確認候補,67,177,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） クイーンズスクエア第２ビル 3-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,4.4 万円,,6.79,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f3b317/
要確認候補,67,180,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） クイーンズスクエア第２ビル 5-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,5 万円,,8.07,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f7b317/
要確認候補,67,181,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） クイーンズスクエア第２ビル 3-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,5.28 万円,,7.47,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-555b55d54249423b71542600/
要確認候補,67,182,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,5.5 万円,,9.54,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f8b317/
要確認候補,67,183,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,5.5 万円,,8.93,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/
要確認候補,67,186,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,6.05 万円,,9.77,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f6b317/
要確認候補,67,190,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,7.7 万円,,12.55,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/
要確認候補,67,199,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） 京都興産ビル ５F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,16.5 万円,,35.34,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/
要確認候補,67,204,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） 京都興産ビル 3F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,22 万円,,35.34,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-5b432f98d032a70dc813f561/
要確認候補,67,214,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,貸店舗（一部） ＷｅＢａｓｅ高松 B1-1F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6万円,220 万円,,314.21,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,https://www.mcrea.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/
要確認候補,69,105,高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,香川県高松市花ノ宮町３丁目,香川県高松市花ノ宮町３丁目,6万円,12万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69e042035de080bdbee75f45/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-646306e9202916104aaa82a9/
要確認候補,71,120,ソウゲンビル 5階,ツゥーフィートビル 5-B,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,6.05万円,16.5万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682a97c00113b83abe1a03d1/
要確認候補,71,145,ソウゲンビル 5階,高松市 鍛冶屋町 (瓦町駅) の貸店舗（一部）,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,6.05万円,26.4万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-59d30e12e5a69c6ccf3e274c/
要確認候補,71,174,ソウゲンビル 5階,貸店舗（一部） ソウゲンビル 5階南,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,6.05万円,2.53 万円,,4.83,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,https://www.mcrea.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/
要確認候補,71,185,ソウゲンビル 5階,貸店舗（一部） ソウゲンビル 5階,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,6.05万円,6.05 万円,,9.55,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,https://www.mcrea.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/
要確認候補,71,198,ソウゲンビル 5階,貸店舗（一部） ツゥーフィートビル 5-B,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,6.05万円,16.5 万円,,18.63,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,https://www.mcrea.jp/kasi-tenpo/detail-682a97c00113b83abe1a03d1/
要確認候補,71,209,ソウゲンビル 5階,貸店舗（一部） 高松市 鍛冶屋町 (瓦町駅) の貸店舗（一部）,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,6.05万円,26.4 万円,,37.57,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,https://www.mcrea.jp/kasi-tenpo/detail-59d30e12e5a69c6ccf3e274c/
要確認候補,72,86,クイーンズスクエア第２ 5-B,クイーンズスクエアービル第２ 7-A,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6.05万円,7.7万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/
要確認候補,72,121,クイーンズスクエア第２ 5-B,京都興産ビル ５F,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,6.05万円,16.5万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f6b317/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/
