store_name,detail_html,google_maps_url,saved_at
kissa kai,data\html\google_maps\details\20260625_032929_kissa_kai.html,"https://www.google.com/maps/place/CAFE+Lululu/@34.3386867,134.0335798,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x35539349f4984643:0x91fb44a64b172c0b!8m2!3d34.3386867!4d134.1097975!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0R05HSnVjRFJOUlZKNFZFZEdTMWRyY0doUmJtaHBUVlpHYTJOVlJSQULgAQD6AQQIABAk!16s%2Fg%2F11pzkkzsrk?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:29:31
CAFE Lululu,data\html\google_maps\details\20260625_032942_CAFE_Lululu.html,"https://www.google.com/maps/place/CAFE+Lululu/@34.3386867,134.0335798,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x35539349f4984643:0x91fb44a64b172c0b!8m2!3d34.3386867!4d134.1097975!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0R05HSnVjRFJOUlZKNFZFZEdTMWRyY0doUmJtaHBUVlpHYTJOVlJSQULgAQD6AQQIABAk!16s%2Fg%2F11pzkkzsrk?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:29:44
Cafe SHION,data\html\google_maps\details\20260625_033034_Cafe_SHION.html,"https://www.google.com/maps/place/Cafe+SHION/@34.3462469,133.9695784,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb1222a70f2f:0x6fdd471ac6ee5945!8m2!3d34.3462469!4d134.0457961!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSUGJEZGlSbEZuRUFF4AEA-gEFCN0CEBk!16s%2Fg%2F11swffwk_7?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:30:36
カトルカール,data\html\google_maps\details\20260625_033109_カトルカール.html,"https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AB%E3%82%AB%E3%83%BC%E3%83%AB/@34.3462469,133.9695784,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb1e7dd8dc8f:0xdf8f804c5eedb0a0!8m2!3d34.3087158!4d134.0725403!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TYzI5dFl6bG5SUkFC4AEA-gEECDkQFQ!16s%2Fg%2F1vr39_hr?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:31:11
TAKAMATSU BASE CAFE,data\html\google_maps\details\20260625_033154_TAKAMATSU_BASE_CAFE.html,"https://www.google.com/maps/place/TAKAMATSU+BASE+CAFE/@34.3462469,133.9695784,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb1bb8745a3f:0xabf608bc012d7cdf!8m2!3d34.3133672!4d134.07105!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5hYVhKbFltMW5SUkFC4AEA-gEFCJcBEBY!16s%2Fg%2F11c2j2dr5g?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:31:56
SABI,data\html\google_maps\details\20260625_033213_SABI.html,"https://www.google.com/maps/place/SABI/@34.3462469,133.9695784,13z/data=!3m1!5s0x3553eb99924b2be9:0x9b10a17b67678e4f!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb67859d075b:0xbe5001762a30a3fc!8m2!3d34.3385131!4d134.0498712!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5zT1Y5NloyRlJFQUXgAQD6AQQIZBAn!16s%2Fg%2F11rwkw5rdc?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:32:15
RET COFFEE,data\html\google_maps\details\20260625_033226_RET_COFFEE.html,"https://www.google.com/maps/place/RET+COFFEE/@34.3462469,133.9695784,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb7672af0c7f:0xcfd9a7107a0bb6d!8m2!3d34.3195284!4d134.0496338!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOU2QwcEROek5CUlJBQuABAPoBBAhJEBw!16s%2Fg%2F11j_6533v6?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:32:28
cafe kuguri,data\html\google_maps\details\20260625_033240_cafe_kuguri.html,"https://www.google.com/maps/place/cafe+kuguri/@34.3462469,133.9695784,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb70a201b0f5:0x431eb593d3f6a0e6!8m2!3d34.3371136!4d134.0639231!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwR2VFNHpiRU5WYkZWM1ZEQkdUbVJITlVObGF6VktWbFphU0ZVeVl4QULgAQD6AQQIdhAg!16s%2Fg%2F11b6_d7jgd?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:32:42
喫茶 モンシェリー,data\html\google_maps\details\20260625_033255_喫茶_モンシェリー.html,"https://www.google.com/maps/place/%E5%96%AB%E8%8C%B6+%E3%83%A2%E3%83%B3%E3%82%B7%E3%82%A7%E3%83%AA%E3%83%BC/@34.3462469,133.9695784,13z/data=!3m1!5s0x3553eaf4add4fa15:0xb06d487ad495f84f!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb001f8817a5:0x2e5533bd71cabf22!8m2!3d34.2935452!4d134.0623252!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5pZEZBdFFqTm5SUkFC4AEA-gEFCLIDEBM!16s%2Fg%2F11vxg4wm0k?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:32:57
mellowbeats.,data\html\google_maps\details\20260625_033306_mellowbeats..html,"https://www.google.com/maps/place/mellowbeats./@34.3462469,133.9695784,13z/data=!3m1!5s0x3553eb983aab98d1:0x54d940f762e43a87!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb089d30501b:0x5d318469b18dc291!8m2!3d34.3367186!4d134.0490667!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSMU4zTnRUbnAzUlJBQuABAPoBBAgAEB0!16s%2Fg%2F11ll3nnj8q?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:33:08
