site,category,name,detail_url,list_url,page_no
エムクレア,貸店舗,錦町１丁目　小川マンション１階店舗 1階,https://www.mcrea.jp/kasi-tenpo/detail-699d42258f9bb7ed6b2b1bdd/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1
エムクレア,貸店舗,シャトー古馬場　２階 2階,https://www.mcrea.jp/kasi-tenpo/detail-5558977d424941055706b417/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1
エムクレア,貸店舗,高松市 屋島西町 (春日川駅) の貸店舗（一括）,https://www.mcrea.jp/kasi-tenpo/detail-67ba76203e48c91c26797ad3/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,京都興産ビル 3F,https://www.mcrea.jp/kasi-tenpo/detail-5b432f98d032a70dc813f561/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,じゃこ丸ビル ５階　南,https://www.mcrea.jp/kasi-tenpo/detail-681acd9ced5168205e52f3c4/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,パールコート 1階,https://www.mcrea.jp/kasi-tenpo/detail-69e1f4f32b1cfe70dd417739/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,高松市 百間町 (瓦町駅) の貸店舗（一部）,https://www.mcrea.jp/kasi-tenpo/detail-68959441674fe57902cecc97/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,高松市 六条町 (水田駅) の貸店舗（一括）,https://www.mcrea.jp/kasi-tenpo/detail-58bf9517e5a69c0e2c12e0ed/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,高松市 鍛冶屋町 (瓦町駅) の貸店舗（一部）,https://www.mcrea.jp/kasi-tenpo/detail-59d30e12e5a69c6ccf3e274c/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,高松市 国分寺町福家 (挿頭丘駅) の貸店舗・事務所(一部),https://www.mcrea.jp/kasi-tenpo/detail-68955a821363053550874c30/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,ガーデンコート高松 2F,https://www.mcrea.jp/kasi-tenpo/detail-63e7433dd93d1c3663901541/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,カーラビル １F,https://www.mcrea.jp/kasi-tenpo/detail-5558977d424941055700b417/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,ソレイユ第一ビル 202,https://www.mcrea.jp/kasi-tenpo/detail-555897fe42494105814fab17/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
エムクレア,貸店舗,ＷｅＢａｓｅ高松 B1-1F,https://www.mcrea.jp/kasi-tenpo/detail-6968a44f2c4b41c3593e8b9c/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html?page=2,2
