site_list,category_list,name,detail_url,list_url,page_no,site_detail,category_detail,html_file,物件名,ページ見出し,賃料,管理費等,敷金/保証金,礼金,交通,所在地,築年月,使用部分面積,坪数/坪単価,その他交通,物件種目,賃料_2,敷引,保証金償却,その他一時金,造作譲渡,維持費等,保険等,権利金,坪単価,建物名・部屋番号,特記事項,設備,備考,坪数,土地面積,建階/階,建物構造,駐車場,バイク置き場,駐輪場,接道状況,用途地域,間取り,契約期間,現況,条件等,引渡可能時期,更新料,物件番号,情報公開日,次回更新予定日,200万円以下の金額,200万円を超え400万円以下の金額,400万円を超える金額,適格請求書発行,管理番号,latitude,longitude
エムクレア,貸店舗,クイーンズスクエアービル第２ 6-C,https://www.mcrea.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-5c34354ad032a77cf332d8cd.html,貸店舗（一部） クイーンズスクエアービル第２ 6-C,(貸店舗（テナント）)クイーンズスクエアービル第２ 6-Cの物件情報,5.5 万円,"7,700円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),29.55㎡,8.93坪／0.6153万円,高松琴平電鉄志度線 / 瓦町駅 徒歩5分,貸店舗（一部）,5.5万円,-,-,-,-,-,-,-,0.6153万円,クイーンズスクエアービル第２ 6-C,飲食店可　保証人不要,収納スペース　エレベーター　都市ガス,,8.93坪,-,7階建/6階,ＳＲＣ,-,-,-,-,-,-,2年,空,-,即時,-,6967349694,2026/02/06,2026/06/26,5.5％,4.4％,3.3％,,,34.3178937,133.8417036
エムクレア,貸店舗,高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),https://www.mcrea.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-653cce171dae78356cd1ee74.html,貸店舗・事務所(一部) 高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),(貸店舗（テナント）)高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部)の物件情報,6 万円,"3,000円",3ヶ月/なし,1ヶ月,高松琴平電鉄琴平線 / 栗林公園駅 徒歩13分,香川県高松市今里町１丁目,1981年1月(築45年6ヶ月),37.50㎡,11.34坪／0.529万円,高松琴平電鉄琴平線 / 三条駅 徒歩12分 ＪＲ高徳線 / 栗林駅 徒歩15分,貸店舗・事務所(一部),6万円,-,-,-,-,-,-,-,0.529万円,-,土曜日利用可　土日・祝日利用可　飲食店可　最上階,プロパンガス　トイレ,,11.34坪,-,2階建/2階,ＲＣ,有　無料　空き1台,-,-,角地：２方道路　東 公道　南 公道,近隣商業,-,2年,空,-,相談,-,6980419535,2026/04/20,2026/06/29,5.5％,4.4％,3.3％,,,34.3257633,134.0570519
エムクレア,貸店舗,ソウゲンビル 5階,https://www.mcrea.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-69cf5969be5a90e31cbaa050.html,貸店舗（一部） ソウゲンビル 5階,(貸店舗（テナント）)ソウゲンビル 5階の物件情報,6.05 万円,"11,000円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩10分,香川県高松市鍛冶屋町,1991年8月(築34年11ヶ月),31.60㎡,9.55坪／0.633万円,高松琴平電鉄琴平線 / 片原町駅 徒歩11分 高松琴平電鉄琴平線 / 高松築港駅 徒歩12分,貸店舗（一部）,6.05万円,-,-,-,-,-,加入要　/　火災保険,-,0.633万円,ソウゲンビル 5階,24時間利用可　土日・祝日利用可　飲食店可,エレベーター　エアコン,賃貸保証等：加入要 全保連に加入要,9.55坪,-,5階建/5階,ＲＣ,なし,なし,なし,-,-,-,2年,空,-,即時,-,6990182274,2026/04/03,2026/07/03,5.5％,4.4％,3.3％,,,34.3428604,134.0487343
エムクレア,貸店舗,クイーンズスクエア第２ 5-B,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f6b317/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-5558977d4249410557f6b317.html,貸店舗（一部） クイーンズスクエア第２ 5-B,(貸店舗（テナント）)クイーンズスクエア第２ 5-Bの物件情報,6.05 万円,"7,700円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),32.32㎡,9.77坪／0.6189万円,-,貸店舗（一部）,6.05万円,-,-,-,-,-,-,-,0.6189万円,クイーンズスクエア第２ 5-B,24時間利用可　飲食店可　保証人不要,収納スペース　エレベーター　動力あり　エアコン　トイレ,,9.77坪,-,7階建/5階,ＳＲＣ,-,-,-,-,商業地域,-,2年,完成済,-,即時,なし,6955377543,2026/02/05,2026/06/26,5.5％,4.4％,3.3％,,,34.3178937,133.8417036
エムクレア,貸店舗,松本ビル 1階,https://www.mcrea.jp/kasi-tenpo/detail-69522eecc37dc1729e1f21f0/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-69522eecc37dc1729e1f21f0.html,貸店舗（一部） 松本ビル 1階,(貸店舗（テナント）)松本ビル 1階の物件情報,6.2 万円,"3,000円",3ヶ月/なし,1ヶ月,高松琴平電鉄琴平線 / 三条駅 徒歩15分,香川県高松市室新町,1980年9月(築45年10ヶ月),31.29㎡,9.46坪／0.6551万円,-,貸店舗（一部）,6.2万円,なし,-,-,-,-,加入要　/　店舗総合保険,-,0.6551万円,松本ビル 1階,飲食店可,トイレ,賃貸保証等：加入要 ＵＳＥＮ　ＴＲＵＳＴ、全保連　等,9.46坪,-,4階建/1階,ＲＣ,-,-,-,-,-,-,2年,空,-,即時,なし,6988934725,2025/12/29,2026/06/28,5.5％,4.4％,3.3％,,,34.2609473,134.034365
エムクレア,貸店舗,小林店舗 １階　東,https://www.mcrea.jp/kasi-tenpo/detail-5fc8918dcab5463d5a2e7e1a/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-5fc8918dcab5463d5a2e7e1a.html,貸店舗（一部） 小林店舗 １階　東,(貸店舗（テナント）)小林店舗 １階　東の物件情報,7.15 万円,-,6ヶ月/なし,1ヶ月,高松琴平電鉄志度線 / 瓦町駅 徒歩7分,香川県高松市古馬場町,1956年1月(築70年6ヶ月),18.90㎡,5.71坪／1.2507万円,-,貸店舗（一部）,7.15万円,-,-,-,-,-,加入要　/　テナント総合保険,-,1.2507万円,小林店舗 １階　東,飲食店可,トイレ,賃貸保証等：加入要 興和アシスト、全保連　等 騒音がする業種は不可。,5.71坪,-,2階建/1階,木造,-,-,-,-,-,-,2年,使用中,-,予定　2026年08月上旬,-,6972303099,2026/06/15,2026/06/29,5.5％,4.4％,3.3％,,,34.3425721,134.0518077
エムクレア,貸店舗,ＡＫビル片原町Ⅱ　２階　北東 （２０１）,https://www.mcrea.jp/kasi-tenpo/detail-684fade320d8493430490ebe/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-684fade320d8493430490ebe.html,貸店舗（一部） ＡＫビル片原町Ⅱ　２階　北東 （２０１）,(貸店舗（テナント）)ＡＫビル片原町Ⅱ　２階　北東 （２０１）の物件情報,7.7 万円,"13,200円",6ヶ月/なし,なし,高松琴平電鉄琴平線 / 片原町駅 徒歩2分,香川県高松市片原町,1979年6月(築47年1ヶ月),40.00㎡,12.09坪／0.6364万円,-,貸店舗（一部）,7.7万円,-,-,-,-,-,加入要　/　店舗総合保険,-,0.6364万円,ＡＫビル片原町Ⅱ　２階　北東 （２０１）,飲食店可,収納スペース　エレベーター　トイレ,賃貸保証等：加入要 全保連、興和アシスト、ＵＳＥＮ　等 ※　別途商店街費要,12.09坪,-,8階建/2階,ＳＲＣ,-,-,-,-,-,-,3年,空,-,即時,-,6986699997,2025/06/16,2026/06/29,5.5％,4.4％,3.3％,,,34.3458826,134.0543651
エムクレア,貸店舗,クイーンズスクエアービル第２ 7-A,https://www.mcrea.jp/kasi-tenpo/detail-5a5c0b969732ec2c56db5cf7/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-5a5c0b969732ec2c56db5cf7.html,貸店舗（一部） クイーンズスクエアービル第２ 7-A,(貸店舗（テナント）)クイーンズスクエアービル第２ 7-Aの物件情報,7.7 万円,"7,700円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),41.50㎡,12.55坪／0.6134万円,-,貸店舗（一部）,7.7万円,-,-,-,-,-,-,-,0.6134万円,クイーンズスクエアービル第２ 7-A,居抜き　飲食店可　最上階,冷蔵庫　エレベーター　都市ガス　エアコン　トイレ,保証金不要！,12.55坪,-,7階建/7階,ＳＲＣ,-,-,-,-,-,-,2年,空,-,即時,-,6964880237,2026/03/19,2026/06/25,5.5％,4.4％,3.3％,,,34.3178937,133.8417036
エムクレア,貸店舗,クイ－ンズスケア第一 1階C,https://www.mcrea.jp/kasi-tenpo/detail-68f074cf4c8c312b4b224e88/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-68f074cf4c8c312b4b224e88.html,貸店舗（一部） クイ－ンズスケア第一 1階C,(貸店舗（テナント）)クイ－ンズスケア第一 1階Cの物件情報,7.7 万円,"11,400円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩5分,香川県高松市瓦町２丁目,1984年10月(築41年9ヶ月),22.16㎡,6.70坪／1.1487万円,高松琴平電鉄琴平線 / 片原町駅 徒歩12分 ＪＲ高徳線 / 栗林駅 徒歩16分,貸店舗（一部）,7.7万円,-,-,-,-,-,加入要　/　火災保険　2年間,-,1.1487万円,クイ－ンズスケア第一 1階C,飲食店可,ビルトインエアコン　エアコン　トイレ,賃貸保証等：加入要 全保連・興和アシスト　プラン有 フリーレント、内装工事費応相談,6.70坪,-,6階建/1階,ＲＣ,なし,-,-,-,-,-,2年,空,-,相談,-,6988031633,2025/10/16,2026/06/24,5.5％,4.4％,3.3％,,,34.3400205,134.0501426
エムクレア,貸店舗,高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,https://www.mcrea.jp/kasi-tenpo/detail-5af17282e5a69c474d30150d/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-5af17282e5a69c474d30150d.html,貸店舗（一部） 高松市 香川町寺井 (空港通り駅) の貸店舗（一部）,(貸店舗（テナント）)高松市 香川町寺井 (空港通り駅) の貸店舗（一部）の物件情報,8.8 万円,-,3ヶ月/なし,なし,高松琴平電鉄琴平線 / 空港通り駅 徒歩12分,香川県高松市香川町寺井,1986年11月(築39年8ヶ月),63.44㎡,19.19坪／0.4586万円,高松琴平電鉄琴平線 / 一宮駅 徒歩25分 高松琴平電鉄琴平線 / 仏生山駅 徒歩24分,貸店舗（一部）,8.8万円,-,-,-,-,-,"加入要　/　日本共済㈱保険　2年間　19,000円",-,0.4586万円,-,居抜き　24時間利用可　土曜日利用可　土日・祝日利用可　飲食店可,オープンキッチン　給湯　プロパンガス　エアコン　火災警報器（報知機）　トイレ,賃貸保証等：加入要 ㈱Ｃａｓａ　初回保証委託料　賃料の８０％　２年目以降１０，０００円／年,19.19坪,-,2階建/1階,鉄骨造,"有　5,000円/月　　備考：敷地内の駐車場については台数は相談に応じます。",なし,なし,東 公道,-,-,3年,居住中,-,相談,-,6965746966,2024/11/30,2026/06/25,5.5％,4.4％,3.3％,,,34.2723454,134.034955
