site,category,name,detail_url,list_url
植村不動産,貸店舗,林町テナント 1階建,https://www.uemura-re.jp/kasi-tenpo/detail-698c049551f1f611e99e316a/,https://www.uemura-re.jp/kasi-tenpo/kagawa/result/takamatsu-city.html
植村不動産,貸店舗,ソレイユ第一ビル 202,https://www.uemura-re.jp/kasi-tenpo/detail-682727f87ecab2371a64cb05/,https://www.uemura-re.jp/kasi-tenpo/kagawa/result/takamatsu-city.html
植村不動産,貸店舗,オフィスビルいずみ,https://www.uemura-re.jp/kasi-tenpo/detail-684ad53f02f99e0e172ce8c6/,https://www.uemura-re.jp/kasi-tenpo/kagawa/result/takamatsu-city.html
植村不動産,貸店舗,西村ジョイ屋島店　２階北 2階,https://www.uemura-re.jp/kasi-tenpo/detail-6807684dece7cc2832b157bb/,https://www.uemura-re.jp/kasi-tenpo/kagawa/result/takamatsu-city.html
