article_id,name,detail_url,page_no,source_site,list_text,賃料,敷金 / 保証金,交通,所在地,築年月,その他交通,物件種目,敷金/保証金,敷引,その他一時金,維持費等,権利金,建物名・部屋番号,特記事項,設備,備考,使用部分面積,土地面積,建階/ 階,駐車場,駐輪場,用途地域,契約期間,条件等,更新料,物件番号,情報公開日,飲食店可否,適格請求書発行,リフォーム履歴,リノベーション履歴,latitude,longitude
68362b1196571f4ba1d7d943,スモールショップ　２Ｆ北側入口西側 ２階一部,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68362b1196571f4ba1d7d943/,1,takamatsu_housing,スモールショップ　２Ｆ北側入口西側 ２階一部 高松琴平電鉄琴平線 / 空港通り駅 高松市香川町大野 徒歩29分 5 万円 なし 2ヶ月/ なし/ 1ヶ月 30.50㎡ 9.22坪／0.542万円 貸店舗・事務所(一部) 1996年11月(築29年8ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする,5万円,2ヶ月/なし,高松琴平電鉄琴平線 / 空港通り駅 徒歩29分,香川県高松市香川町大野,1996年11月(築29年8ヶ月),-,貸店舗・事務所(一部),2ヶ月/なし,-,-,-,-,スモールショップ　２Ｆ北側入口西側 ２階一部,土日・祝日利用可　大型トラック搬入可　24時間セキュリティー　天井高２.５ｍ以上　バリアフリー　保証人不要,荷積みスペース　無線ＬＡＮ　男女別トイレ　施設内貸会議室　オープンキッチン　防犯カメラ　敷地内ＡＥＤ有　エレベーター２基以上　エレベーター　人荷用エレベーター　車寄せスペース　ビルトインエアコン　火災警報器（報知機）　インターネット対応　トイレ２ヶ所　トイレ　障がい者等用駐車場,賃貸保証等：加入要 カーサ家賃保証、参考賃料１ヵ月 他所在地：ウイングポートショッピングセンター２階一部 ＩＴ重説対応物件 法人登記可能、車庫証明 可能、 本物件は９．２坪ですが、ほかに２４．８坪もあります。 区画壁は貸主負担、リースライン部壁出入口は借主負担 ２階隣接び香川町商工会議所あり １階ＡＴＭあり 共用ｗｉｆｉ以外なら専用光電話回線引き込みＯＫ,30.50㎡,-,2階建/2階,有　無料,有　無料,-,3年,-,なし,6986459208,2025/10/23,不明,可,,,34.2664945,134.0255298
5558977d4249410557f7b317,クイーンズスクエア第２ビル 5-C,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f7b317/,1,takamatsu_housing,"クイーンズスクエア第２ビル 5-C 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 5 万円 7,700円 1ヶ月/ なし/ なし 26.69㎡ 8.07坪／0.6193万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",5万円,1ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,1ヶ月/なし,-,-,-,-,クイーンズスクエア第２ビル 5-C,飲食店可,エレベーター　トイレ,保証人不要！,26.69㎡,-,7階建/5階,-,-,商業地域,2年,-,なし,6955377620,2026/03/19,可,,,,34.3412277,134.051584
555b55d54249423b71542600,クイーンズスクエア第２ビル 3-B,https://www.takamatsuhousing.jp/kasi-tenpo/detail-555b55d54249423b71542600/,1,takamatsu_housing,"クイーンズスクエア第２ビル 3-B 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 5.28 万円 7,700円 3ヶ月/ なし/ なし 24.70㎡ 7.47坪／0.7067万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",5.28万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエア第２ビル 3-B,24時間利用可　飲食店可　保証人不要,エレベーター　トイレ,,24.70㎡,-,7階建/3階,-,-,-,2年,-,なし,6955376839,2026/02/05,可,,,,34.3412277,134.051584
64e2d04b3f7cf6132af9cfa9,高松市 春日町 の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-64e2d04b3f7cf6132af9cfa9/,1,takamatsu_housing,高松市 春日町 の貸店舗（一部） 【バス】 コトデン　春日川停 停歩1分 高松市春日町 - 5.5 万円 - 3ヶ月/ なし/ なし 38.30㎡ 11.58坪／0.4748万円 貸店舗（一部） 1976年1月(築50年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする,5.5万円,3ヶ月/なし,【バス】 コトデン　春日川停 停歩1分,香川県高松市春日町,1976年1月(築50年6ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,-,-,エアコン,,38.30㎡,-,3階建/2階,有　無料　　備考：２台込♪,-,-,2年,-,-,6979866880,2025/06/17,不明,,,,34.3304601,134.0917088
5558977d4249410557f8b317,クイーンズスクエア第２ 7-B,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,1,takamatsu_housing,"クイーンズスクエア第２ 7-B 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 5.5 万円 7,700円 3ヶ月/ なし/ なし 31.57㎡ 9.54坪／0.576万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",5.5万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエア第２ 7-B,24時間利用可　飲食店可　保証人不要,エレベーター　トイレ,,31.57㎡,-,7階建/7階,-,-,商業地域,2年,-,なし,6955377668,2026/02/05,可,,,,34.3412277,134.051584
5c34354ad032a77cf332d8cd,クイーンズスクエアービル第２ 6-C,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5c34354ad032a77cf332d8cd/,1,takamatsu_housing,"クイーンズスクエアービル第２ 6-C 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 5.5 万円 7,700円 3ヶ月/ なし/ なし 29.55㎡ 8.93坪／0.6153万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",5.5万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),高松琴平電鉄志度線 / 瓦町駅 徒歩5分,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエアービル第２ 6-C,飲食店可　保証人不要,収納スペース　エレベーター　都市ガス,,29.55㎡,-,7階建/6階,-,-,-,2年,-,-,6967349694,2026/02/06,可,,,,34.3412277,134.051584
5bf21f5ce5a69c7914b84609,新井ビル 204,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5bf21f5ce5a69c7914b84609/,1,takamatsu_housing,"新井ビル 204 【バス】 田中 停歩1分 高松市成合町 - 5.5 万円 7,000円 15.00万円/ なし/ なし 49.59㎡ 15.00坪／0.3667万円 貸店舗・事務所(一部) 1991年10月(築34年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",5.5万円,15.00万円/なし,【バス】 田中 停歩1分,香川県高松市成合町,1991年10月(築34年9ヶ月),-,貸店舗・事務所(一部),15.00万円/なし,-,-,"ゴミ処理：1,000円/月",-,新井ビル 204,飲食店不可,トイレ,賃貸保証等：加入要 賃料の８０％ 令和８年１月１日～ ゴミ処理１，０００円 駐車場追加１台４，０００円 保証会社加入,49.59㎡,-,2階建/2階,有　無料　　備考：２台込,-,-,2年,-,-,6967043253,2025/12/12,不可,,,,34.2994211,134.0156685
653cce171dae78356cd1ee74,高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),https://www.takamatsuhousing.jp/kasi-tenpo/detail-653cce171dae78356cd1ee74/,1,takamatsu_housing,"高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部) 高松琴平電鉄琴平線 / 栗林公園駅 高松市今里町１丁目 徒歩13分 6 万円 3,000円 3ヶ月/ なし/ 1ヶ月 37.50㎡ 11.34坪／0.529万円 貸店舗・事務所(一部) 1981年1月(築45年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",6万円,3ヶ月/なし,高松琴平電鉄琴平線 / 栗林公園駅 徒歩13分,香川県高松市今里町１丁目,1981年1月(築45年6ヶ月),高松琴平電鉄琴平線 / 三条駅 徒歩12分 ＪＲ高徳線 / 栗林駅 徒歩15分,貸店舗・事務所(一部),3ヶ月/なし,-,-,-,-,-,土曜日利用可　土日・祝日利用可　飲食店可　最上階,プロパンガス　トイレ,,37.50㎡,-,2階建/2階,有　無料　空き1台,-,近隣商業,2年,-,-,6980419535,2026/04/20,可,,,,34.3257633,134.0570519
69f442181c76787766fc6df6,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69f442181c76787766fc6df6/,1,takamatsu_housing,"高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部） 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩5分 6 万円 7,700円 3ヶ月/ なし/ なし 30.51㎡ 9.22坪／0.6502万円 貸店舗（一部） 1990年6月(築36年1ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",6万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩5分,香川県高松市瓦町１丁目,1990年6月(築36年1ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,-,-,-,,30.51㎡,-,7階建/6階,-,-,-,2年,-,-,6990564218,2026/05/01,不明,,,,34.3412277,134.051584
651cc060af1d7279296ecb25,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,https://www.takamatsuhousing.jp/kasi-tenpo/detail-651cc060af1d7279296ecb25/,1,takamatsu_housing,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部） 高松琴平電鉄志度線 / 瓦町駅 高松市瓦町１丁目 徒歩7分 6 万円 なし 3ヶ月/ なし/ 1ヶ月 50.41㎡ 15.24坪／0.3935万円 貸店舗（一部） 1969年1月(築57年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする,6万円,3ヶ月/なし,高松琴平電鉄志度線 / 瓦町駅 徒歩7分,香川県高松市瓦町１丁目,1969年1月(築57年6ヶ月),高松琴平電鉄琴平線 / 片原町駅 徒歩10分,貸店舗（一部）,3ヶ月/なし,なし,-,-,-,-,-,-,賃貸保証等：加入要 契約時賃料合計の１００％、２年目より年額１００００円の保証委託料が必要です。 現状和室３室と台所があります。 現状のままでの 引渡しとなり、室内の状態は築年数相応で良くないので借主様にて改装工事は必要です。 上下水道料５，０００円／月額（用途により相談）が必要となります。,50.41㎡,-,2階建/2階,なし,-,商業地域,2年,-,なし,6980203924,2025/04/23,不明,,,,34.3412277,134.051584
